request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781708336.7013748,1781708343.6487594,6947.384595870972,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781708336.7051768,1781708343.7130296,7007.852792739868,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781708336.7057636,1781708343.7131925,7007.428884506226,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781708336.7073567,1781708343.7133048,7005.948066711426,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781708336.7034874,1781708343.7134137,7009.926319122314,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781708336.7043643,1781708343.7135134,7009.149074554443,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781708336.7065716,1781708343.7135906,7007.01904296875,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781708336.7117367,1781708343.7735193,7061.782598495483,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781708336.7080631,1781708343.7737358,7065.6726360321045,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781708336.7086802,1781708343.773958,7065.277814865112,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781708336.7106278,1781708343.7741077,7063.479900360107,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781708336.7092516,1781708343.7750294,7065.777778625488,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781708336.7111714,1781708343.7751577,7063.986301422119,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781708336.7100277,1781708343.7752728,7065.245151519775,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781708336.712296,1781708343.8300817,7117.785692214966,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781708336.712876,1781708343.8302119,7117.335796356201,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781708343.8312464,1781708350.76688,6935.633659362793,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781708343.8316727,1781708350.8293445,6997.671842575073,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781708343.834294,1781708350.8294337,6995.139598846436,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1781708343.8331146,1781708350.8295016,6996.387004852295,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781708343.8308818,1781708350.8295639,6998.682022094727,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781708343.8321095,1781708350.829622,6997.512578964233,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781708343.8327558,1781708350.8296819,6996.926069259644,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781708343.833906,1781708350.8896904,7055.784463882446,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781708343.8334892,1781708350.8898053,7056.316137313843,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781708343.8365896,1781708350.8898823,7053.292751312256,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781708343.8349137,1781708350.8899443,7055.030584335327,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1781708343.8357418,1781708350.8903391,7054.5973777771,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1781708343.8362324,1781708350.8904066,7054.174184799194,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781708343.8381965,1781708350.9479043,7109.707832336426,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781708343.8371298,1781708350.9479961,7110.86630821228,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781708343.8377311,1781708350.9480708,7110.339641571045,1,200,,156,96,94,250
32,queue_pressure,vllm_queue_pressure,1781708350.9484782,1781708357.8663187,6917.840480804443,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1781708350.9486763,1781708357.8664825,6917.806148529053,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1781708350.949435,1781708357.9269311,6977.496147155762,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1781708350.9489863,1781708357.927737,6978.750705718994,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1781708350.9488518,1781708357.9280317,6979.179859161377,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1781708350.9500287,1781708357.92863,6978.601455688477,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1781708350.9491665,1781708357.9287653,6979.598760604858,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1781708350.9496248,1781708357.928921,6979.2962074279785,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1781708350.9498103,1781708357.9873805,7037.570238113403,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1781708350.95118,1781708357.9877765,7036.5965366363525,1,200,,156,96,94,250
41,queue_pressure,vllm_queue_pressure,1781708350.950285,1781708357.9879339,7037.648916244507,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1781708350.950748,1781708357.9880164,7037.268400192261,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1781708350.9509778,1781708357.9880877,7037.109851837158,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1781708350.9504657,1781708357.988148,7037.682294845581,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1781708350.951369,1781708358.0448766,7093.507528305054,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1781708350.9515815,1781708358.045055,7093.473434448242,1,200,,156,96,33,189
50,queue_pressure,vllm_queue_pressure,1781708358.046049,1781708364.9766471,6930.598020553589,1,200,,156,96,98,254
48,queue_pressure,vllm_queue_pressure,1781708358.0456178,1781708365.0395057,6993.887901306152,1,200,,156,96,89,245
52,queue_pressure,vllm_queue_pressure,1781708358.0466557,1781708365.0398645,6993.208885192871,1,200,,156,96,33,189
55,queue_pressure,vllm_queue_pressure,1781708358.0480418,1781708365.0399952,6991.953372955322,1,200,,156,96,94,250
51,queue_pressure,vllm_queue_pressure,1781708358.0463493,1781708365.0401247,6993.775367736816,1,200,,156,96,33,189
54,queue_pressure,vllm_queue_pressure,1781708358.0474663,1781708365.0402002,6992.733955383301,1,200,,156,96,33,189
49,queue_pressure,vllm_queue_pressure,1781708358.0458558,1781708365.0402884,6994.432687759399,1,200,,156,96,94,250
57,queue_pressure,vllm_queue_pressure,1781708358.0489535,1781708365.0999775,7051.023960113525,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1781708358.048649,1781708365.100102,7051.452875137329,1,200,,156,96,33,189
