request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,queue_pressure,vllm_queue_pressure,1781708500.1271985,1781708506.052257,5925.058603286743,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781708500.1279838,1781708506.0524805,5924.496650695801,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781708500.1310227,1781708506.1172354,5986.212730407715,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781708500.136239,1781708506.1182292,5981.990098953247,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781708500.1341612,1781708506.1185992,5984.437942504883,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1781708500.1260488,1781708506.1187308,5992.681980133057,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781708500.136892,1781708506.1188385,5981.9464683532715,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781708500.1266878,1781708506.1189358,5992.248058319092,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781708500.135443,1781708506.1190426,5983.599662780762,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781708500.1316032,1781708506.119129,5987.525701522827,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781708500.1324723,1781708506.1192095,5986.737251281738,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781708500.133217,1781708506.1193633,5986.1462116241455,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781708500.134972,1781708506.1197727,5984.800577163696,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781708500.1375332,1781708506.119907,5982.3737144470215,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781708500.1291716,1781708506.1200025,5990.830898284912,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781708500.1303244,1781708506.120121,5989.7966384887695,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781708506.1212265,1781708512.0412607,5920.034170150757,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781708506.127513,1781708512.1071546,5979.641675949097,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781708506.1218076,1781708512.1073754,5985.567808151245,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781708506.123446,1781708512.1082814,5984.835386276245,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1781708506.1241121,1781708512.108803,5984.69090461731,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781708506.1215315,1781708512.1099105,5988.379001617432,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781708506.1237578,1781708512.1103566,5986.59873008728,1,200,,156,96,98,254
23,queue_pressure,vllm_queue_pressure,1781708506.123184,1781708512.1110501,5987.866163253784,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781708506.1266723,1781708512.111174,5984.501838684082,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781708506.1272588,1781708512.1112869,5984.028100967407,1,200,,156,96,98,254
27,queue_pressure,vllm_queue_pressure,1781708506.1246557,1781708512.1114237,5986.768007278442,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781708506.1228154,1781708512.1117167,5988.901376724243,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781708506.1220915,1781708512.1118226,5989.731073379517,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781708506.125854,1781708512.1119938,5986.13977432251,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781708506.120846,1781708512.1122236,5991.377592086792,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1781708506.122442,1781708512.1123703,5989.928245544434,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1781708512.1141944,1781708518.0323675,5918.17307472229,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1781708512.1206956,1781708518.1006205,5979.924917221069,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1781708512.1172931,1781708518.102959,5985.665798187256,1,200,,156,96,94,250
32,queue_pressure,vllm_queue_pressure,1781708512.113565,1781708518.103212,5989.647150039673,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1781708512.1150672,1781708518.1034224,5988.3551597595215,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1781708512.116845,1781708518.103627,5986.782073974609,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1781708512.1193194,1781708518.1037703,5984.450817108154,1,200,,156,96,98,254
45,queue_pressure,vllm_queue_pressure,1781708512.119656,1781708518.1038995,5984.243392944336,1,200,,156,96,98,254
41,queue_pressure,vllm_queue_pressure,1781708512.1176243,1781708518.1040373,5986.41300201416,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1781708512.1182466,1781708518.104163,5985.916376113892,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1781708512.1188831,1781708518.1044962,5985.613107681274,1,200,,156,96,94,250
37,queue_pressure,vllm_queue_pressure,1781708512.1161635,1781708518.1052568,5989.09330368042,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1781708512.1199858,1781708518.1055176,5985.531806945801,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1781708512.1146276,1781708518.105639,5991.011381149292,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1781708512.1153998,1781708518.1057708,5990.370988845825,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1781708512.1165226,1781708518.1058896,5989.3670082092285,1,200,,156,96,33,189
48,queue_pressure,vllm_queue_pressure,1781708518.1066005,1781708524.0248675,5918.267011642456,1,200,,156,96,98,254
50,queue_pressure,vllm_queue_pressure,1781708518.1072686,1781708524.092386,5985.117435455322,1,200,,156,96,98,254
63,queue_pressure,vllm_queue_pressure,1781708518.1132574,1781708524.0945208,5981.2633991241455,1,200,,156,96,33,189
59,queue_pressure,vllm_queue_pressure,1781708518.1115777,1781708524.094662,5983.084201812744,1,200,,156,96,94,250
60,queue_pressure,vllm_queue_pressure,1781708518.112038,1781708524.0952265,5983.188629150391,1,200,,156,96,33,189
