request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,queue_pressure,vllm_queue_pressure,1781728500.5560377,1781728506.480119,5924.081325531006,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781728500.5586798,1781728506.5482013,5989.521503448486,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781728500.5627108,1781728506.5484416,5985.730886459351,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781728500.5642216,1781728506.5486007,5984.379053115845,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1781728500.5554366,1781728506.5487397,5993.303060531616,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781728500.560647,1781728506.5488892,5988.242149353027,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781728500.55713,1781728506.5490396,5991.909503936768,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781728500.5565727,1781728506.5491972,5992.624521255493,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781728500.5620406,1781728506.5493782,5987.337589263916,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781728500.5575664,1781728506.5495782,5992.011785507202,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781728500.564717,1781728506.5497236,5985.00657081604,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781728500.5580387,1781728506.5498438,5991.805076599121,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781728500.5602448,1781728506.549977,5989.732265472412,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781728500.5633965,1781728506.5500906,5986.694097518921,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781728500.5611577,1781728506.5502045,5989.046812057495,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781728500.559631,1781728506.5503247,5990.69356918335,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781728506.5516043,1781728512.4631972,5911.592960357666,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781728506.5512261,1781728512.532669,5981.442928314209,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781728506.554256,1781728512.5328963,5978.64031791687,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781728506.5565383,1781728512.533271,5976.7327308654785,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781728506.5527573,1781728512.5334032,5980.6458950042725,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781728506.5519004,1781728512.5341096,5982.209205627441,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781728506.5523536,1781728512.5347137,5982.360124588013,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781728506.5561037,1781728512.5348396,5978.73592376709,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781728506.5571523,1781728512.534945,5977.792739868164,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781728506.55385,1781728512.5350504,5981.200456619263,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781728506.553335,1781728512.535162,5981.827020645142,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1781728506.5553272,1781728512.5352964,5979.969263076782,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1781728506.5556562,1781728512.5353923,5979.736089706421,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781728506.557548,1781728512.535473,5977.925062179565,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781728506.5548956,1781728512.5355835,5980.687856674194,1,200,,156,96,97,253
21,queue_pressure,vllm_queue_pressure,1781728506.5530722,1781728512.5356853,5982.613086700439,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1781728512.5364163,1781728518.4529467,5916.53037071228,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1781728512.5419438,1781728518.5221548,5980.211019515991,1,200,,156,96,89,245
43,queue_pressure,vllm_queue_pressure,1781728512.5412965,1781728518.5229561,5981.659650802612,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1781728512.5406628,1781728518.5234182,5982.755422592163,1,200,,156,96,85,241
47,queue_pressure,vllm_queue_pressure,1781728512.5427601,1781728518.5236385,5980.8783531188965,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1781728512.540168,1781728518.5237818,5983.613729476929,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1781728512.539287,1781728518.5241716,5984.88450050354,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1781728512.5382924,1781728518.5243223,5986.029863357544,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1781728512.537741,1781728518.524463,5986.721992492676,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1781728512.5374243,1781728518.524825,5987.400770187378,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1781728512.5422933,1781728518.5251691,5982.875823974609,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1781728512.5367393,1781728518.5254438,5988.704442977905,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1781728512.5387642,1781728518.5255852,5986.820936203003,1,200,,156,96,94,250
34,queue_pressure,vllm_queue_pressure,1781728512.5370543,1781728518.5257263,5988.6720180511475,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1781728512.5397034,1781728518.5258348,5986.131429672241,1,200,,156,96,33,189
