request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781728458.7468748,1781728466.057108,7310.233116149902,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781728458.7494736,1781728466.1204658,7370.992183685303,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781728458.7513216,1781728466.1206899,7369.368314743042,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781728458.74887,1781728466.1212816,7372.411727905273,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781728458.7481651,1781728466.1213932,7373.228073120117,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781728458.7504103,1781728466.1214762,7371.065855026245,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781728458.7476277,1781728466.1215706,7373.942852020264,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781728458.752969,1781728466.181475,7428.505897521973,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781728458.755729,1781728466.181829,7426.100015640259,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781728458.752504,1781728466.1821227,7429.61859703064,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781728458.7548103,1781728466.1825094,7427.699089050293,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781728458.7535641,1781728466.1826394,7429.075241088867,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781728458.7519712,1781728466.1827922,7430.820941925049,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781728458.7543354,1781728466.182911,7428.57551574707,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781728458.7562444,1781728466.2378173,7481.572866439819,1,200,,156,96,33,189
