scenario,policy,repetitions,top1_accuracy,ever_correct_rate,premature_stop_rate,re_escalation_rate,heavy_trace_duration_s_mean,heavy_trace_duration_s_ci95_half_width,selected_windows_mean,selected_windows_ci95_half_width,duration_saved_vs_repeated_fixed_percent
compute_saturation,counter_recovery_stop,3,1.0,1.0,0.0,0.0,39.329,0.048,4.0,0.0,-31.097
compute_saturation,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
compute_saturation,hybrid_stop,3,1.0,1.0,0.0,0.0,39.329,0.048,4.0,0.0,-31.097
compute_saturation,marginal_utility_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
compute_saturation,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
compute_saturation,stability_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
healthy,counter_recovery_stop,3,1.0,1.0,0.0,0.0,33.707,0.02,4.0,0.0,-12.357
healthy,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
healthy,hybrid_stop,3,1.0,1.0,0.0,0.0,33.707,0.02,4.0,0.0,-12.357
healthy,marginal_utility_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
healthy,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
healthy,stability_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
kv_cache_pressure,counter_recovery_stop,3,1.0,1.0,0.0,0.0,39.647,0.002,4.0,0.0,-32.157
kv_cache_pressure,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
kv_cache_pressure,hybrid_stop,3,1.0,1.0,0.0,0.0,39.647,0.002,4.0,0.0,-32.157
kv_cache_pressure,marginal_utility_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
kv_cache_pressure,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
kv_cache_pressure,stability_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_output,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.916,0.01,4.0,0.0,-3.052
long_output,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
long_output,hybrid_stop,3,1.0,1.0,0.0,0.0,30.916,0.01,4.0,0.0,-3.052
long_output,marginal_utility_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_output,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_output,stability_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
long_prompt,counter_recovery_stop,3,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0
long_prompt,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
long_prompt,hybrid_stop,3,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0
long_prompt,marginal_utility_stop,3,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0
long_prompt,repeated_fixed_burst,3,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0
long_prompt,stability_stop,3,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0
queue_pressure,counter_recovery_stop,3,1.0,1.0,0.0,0.0,35.802,0.023,4.0,0.0,-19.34
queue_pressure,fixed_burst,3,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,66.667
queue_pressure,hybrid_stop,3,1.0,1.0,0.0,0.0,35.802,0.023,4.0,0.0,-19.34
queue_pressure,marginal_utility_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
queue_pressure,repeated_fixed_burst,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
queue_pressure,stability_stop,3,1.0,1.0,0.0,1.0,30.0,0.0,3.0,0.0,0.0
