signal,stable_correct_f1,stress_correct_f1,stress_ambiguous_f1,precision_floor,paper_signal_score,paper_ready,rank
diagnosis_stable_2,0.925,0.786,0.0,1.0,0.877,True,1
latency_recovered,1.0,0.85,0.414,0.739,0.777,False,2
throughput_recovered,0.938,0.8,0.333,0.778,0.761,False,3
queue_delay_recovered,0.794,0.85,0.414,0.739,0.705,False,4
queue_pressure_low,0.605,0.85,0.414,0.739,0.639,False,5
diagnosis_margin_clear,0.853,0.0,0.0,0.0,0.299,False,6
diagnosis_changed_from_previous,0.0,0.522,0.0,0.0,0.235,False,7
diagnosis_confident,0.635,0.0,0.0,0.0,0.222,False,8
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,False,9
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,False,10
memory_pressure_low,0.0,0.0,0.0,0.0,0.0,False,11
