signal,correlation_with_correct_stop,correlation_with_ambiguous_stop,mean_when_correct_stop,mean_when_not_correct_stop
latency_ratio_vs_baseline,0.0,0.0,0.978,0.0
queue_delay_proxy_p95_ms,0.0,0.0,38.514,0.0
gpu_util_percent_mean,0.0,0.0,92.994,0.0
gpu_memory_used_percent_mean,0.0,0.0,92.072,0.0
request_throughput_rps,0.0,0.0,5.529,0.0
throughput_ratio_vs_baseline,0.0,0.0,1.503,0.0
queue_pressure_score,0.0,0.0,0.157,0.0
diagnosis_confidence,0.0,0.0,0.656,0.0
diagnosis_rank_margin,0.0,0.0,0.192,0.0
kernel_duration_cv,0.0,0.0,0.0,0.0
kernel_duration_stability_delta_percent,0.0,0.0,0.0,0.0
