scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
compute_saturation,9201,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,1,1,0,0,1.0,37.485,90.451,92.166,9.6,1.0,0.15,0.803,0.178,0.0,0.0
compute_saturation,9201,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.017,67.696,91.429,92.166,9.6,1.0,0.288,0.813,0.185,0.0,0.0
compute_saturation,9201,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.003,30.304,92.437,92.166,9.6,1.0,0.124,0.819,0.193,0.0,0.0
compute_saturation,9201,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.008,54.669,91.803,92.166,12.0,1.25,0.227,0.815,0.188,0.0,0.0
compute_saturation,9201,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.013,56.22,91.914,92.166,9.6,1.0,0.238,0.816,0.189,0.0,0.0
compute_saturation,9201,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.013,71.109,91.714,92.166,9.6,1.0,0.298,0.814,0.187,0.0,0.0
compute_saturation,9201,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.015,59.859,91.25,92.166,43.285,4.509,0.255,0.811,0.184,0.0,0.0
compute_saturation,9202,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,1,1,1,0,1.0,21.679,89.704,92.166,9.6,1.0,0.087,0.798,0.173,0.0,0.0
compute_saturation,9202,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.01,43.498,90.986,92.166,9.6,1.0,0.184,0.809,0.182,0.0,0.0
compute_saturation,9202,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.005,36.386,91.676,92.166,9.6,1.0,0.151,0.813,0.187,0.0,0.0
compute_saturation,9202,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.005,28.897,91.729,92.166,12.0,1.25,0.121,0.814,0.188,0.0,0.0
compute_saturation,9202,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.002,40.934,92.225,92.166,9.6,1.0,0.166,0.817,0.192,0.0,0.0
compute_saturation,9202,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.003,30.283,91.914,92.166,9.6,1.0,0.124,0.815,0.189,0.0,0.0
compute_saturation,9202,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.998,8.089,92.6,92.166,35.942,3.744,0.032,0.819,0.195,0.0,0.0
compute_saturation,9203,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,1,1,1,0,1.0,18.885,91.338,92.166,9.6,1.0,0.076,0.81,0.185,0.0,0.0
compute_saturation,9203,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.007,41.568,92.257,92.166,9.6,1.0,0.173,0.818,0.192,0.0,0.0
compute_saturation,9203,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.01,45.298,91.771,92.166,9.6,1.0,0.191,0.815,0.188,0.0,0.0
compute_saturation,9203,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.016,64.342,91.0,92.166,12.0,1.25,0.274,0.81,0.182,0.0,0.0
compute_saturation,9203,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.016,72.1,91.371,92.166,9.6,1.0,0.304,0.812,0.184,0.0,0.0
compute_saturation,9203,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.014,54.041,91.443,92.166,9.6,1.0,0.23,0.813,0.185,0.0,0.0
compute_saturation,9203,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,1.007,27.945,92.0,92.166,39.913,4.158,0.119,0.816,0.19,0.0,0.0
healthy,9201,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,1,1,0,0,1.0,40.9,87.282,91.609,1.1,1.0,0.164,0.55,0.23,0.0,0.0
healthy,9201,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.987,3.148,92.257,91.609,1.1,1.0,0.013,0.55,0.265,0.0,0.0
healthy,9201,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.98,0.0,92.732,91.609,1.2,1.091,0.0,0.55,0.268,0.0,0.0
healthy,9201,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.976,0.0,93.057,91.609,1.1,1.0,0.0,0.55,0.27,0.0,0.0
healthy,9201,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.984,2.543,92.4,91.609,1.2,1.091,0.01,0.55,0.266,0.0,0.0
healthy,9201,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.988,5.531,92.352,91.609,1.1,1.0,0.022,0.55,0.266,0.0,0.0
healthy,9201,6,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,94.0,91.609,0.0,0.0,0.0,0.55,0.28,0.0,0.0
healthy,9202,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,1,1,1,0,1.0,2.158,91.225,91.609,1.1,1.0,0.009,0.55,0.259,0.0,0.0
healthy,9202,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.002,9.056,92.671,91.609,1.1,1.0,0.038,0.55,0.27,0.0,0.0
healthy,9202,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.007,13.029,92.493,91.609,1.2,1.091,0.059,0.55,0.27,0.0,0.0
healthy,9202,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.008,13.889,92.486,91.609,1.1,1.0,0.063,0.55,0.27,0.0,0.0
healthy,9202,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.002,3.893,92.845,91.609,1.2,1.091,0.017,0.55,0.272,0.0,0.0
healthy,9202,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.0,3.482,92.871,91.609,1.1,1.0,0.014,0.55,0.272,0.0,0.0
healthy,9202,6,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,94.0,91.609,0.0,0.0,0.0,0.55,0.28,0.0,0.0
healthy,9203,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,1,1,1,0,1.0,19.907,91.915,91.609,1.1,1.0,0.08,0.55,0.264,0.0,0.0
healthy,9203,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.003,10.66,92.873,91.609,1.2,1.091,0.046,0.55,0.272,0.0,0.0
healthy,9203,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.013,20.779,92.214,91.609,1.1,1.0,0.096,0.55,0.268,0.0,0.0
healthy,9203,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,0,0,1.011,25.342,92.229,91.609,1.1,1.0,0.113,0.55,0.268,0.0,0.0
healthy,9203,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.008,19.152,92.29,91.609,1.2,1.091,0.084,0.55,0.268,0.0,0.0
healthy,9203,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,1.007,13.548,92.535,91.609,1.1,1.0,0.061,0.55,0.27,0.0,0.0
healthy,9203,6,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,94.0,91.609,0.0,0.0,0.0,0.55,0.28,0.0,0.0
