signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
latency_recovered,1.0,1.0,1.0,0.0,0.0,0.0,125,125,0,1
memory_pressure_low,1.0,1.0,1.0,0.0,0.0,0.0,125,125,0,2
throughput_recovered,1.0,0.96,0.98,0.0,0.0,0.0,120,125,0,3
queue_delay_recovered,1.0,0.936,0.967,0.0,0.0,0.0,117,125,0,4
diagnosis_stable_2,1.0,0.856,0.922,0.0,0.0,0.0,107,125,0,5
diagnosis_confident,1.0,0.664,0.798,0.0,0.0,0.0,83,125,0,6
diagnosis_margin_clear,1.0,0.648,0.786,0.0,0.0,0.0,81,125,0,7
queue_pressure_low,1.0,0.384,0.555,0.0,0.0,0.0,48,125,0,8
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,125,0,9
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,125,0,10
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,125,0,11
