scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
compute_saturation,9201,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,0,1,0,0,1.0,52.801,94.076,97.712,2.4,1.0,0.211,0.831,0.206,0.0,0.0
compute_saturation,9201,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.0,61.318,97.831,97.712,2.4,1.0,0.245,0.859,0.234,0.0,0.0
compute_saturation,9201,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.004,95.985,97.875,97.712,2.4,1.0,0.388,0.86,0.234,0.0,0.0
compute_saturation,9201,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.004,98.771,97.646,97.712,2.4,1.0,0.4,0.858,0.232,0.0,0.0
compute_saturation,9201,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.004,92.858,97.892,97.712,2.4,1.0,0.375,0.86,0.234,0.0,0.0
compute_saturation,9201,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,0,0,0,1,0,0,1.005,106.369,97.75,97.712,2.4,1.0,0.43,0.859,0.233,0.0,0.0
compute_saturation,9201,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,89.615,97.909,97.712,2.7,1.125,0.361,0.86,0.234,0.0,0.0
compute_saturation,9202,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,0,1,0,0,1.0,56.453,95.169,97.712,2.4,1.0,0.226,0.839,0.214,0.0,0.0
compute_saturation,9202,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,0.999,60.566,97.794,97.712,2.4,1.0,0.242,0.858,0.233,0.0,0.0
compute_saturation,9202,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,88.47,97.984,97.712,2.4,1.0,0.357,0.86,0.235,0.0,0.0
compute_saturation,9202,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,80.729,97.922,97.712,2.4,1.0,0.326,0.86,0.234,0.0,0.0
compute_saturation,9202,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,0,0,0,1,0,0,1.007,122.91,97.785,97.712,2.4,1.0,0.499,0.859,0.233,0.0,0.0
compute_saturation,9202,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,81.511,97.969,97.712,2.4,1.0,0.329,0.86,0.235,0.0,0.0
compute_saturation,9202,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.002,77.081,98.055,97.712,2.695,1.123,0.31,0.861,0.235,0.0,0.0
compute_saturation,9203,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,1,1,1,1,0,0,1,0,0,1.0,51.051,95.619,97.712,2.4,1.0,0.204,0.842,0.217,0.0,0.0
compute_saturation,9203,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.0,53.4,97.769,97.712,2.4,1.0,0.214,0.858,0.233,0.0,0.0
compute_saturation,9203,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,90.944,97.922,97.712,2.4,1.0,0.367,0.86,0.234,0.0,0.0
compute_saturation,9203,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,84.895,98.031,97.712,2.4,1.0,0.343,0.861,0.235,0.0,0.0
compute_saturation,9203,4,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.003,88.633,98.047,97.712,2.4,1.0,0.357,0.861,0.235,0.0,0.0
compute_saturation,9203,5,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,0,0,0,1,0,0,1.013,227.144,95.985,97.712,2.4,1.0,0.921,0.846,0.219,0.0,0.0
compute_saturation,9203,6,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,0,1,0,0,1.002,73.12,98.055,97.712,2.685,1.119,0.294,0.861,0.235,0.0,0.0
healthy,9201,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,0,1,1,0,1.0,18.704,95.234,96.722,0.2,1.0,0.075,0.55,0.289,0.0,0.0
healthy,9201,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.306,96.722,0.3,1.5,0.0,0.55,0.312,0.0,0.0
healthy,9201,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.734,96.722,0.3,1.5,0.0,0.55,0.315,0.0,0.0
healthy,9201,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.723,96.722,0.2,1.0,0.0,0.55,0.315,0.0,0.0
healthy,9201,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.5,96.722,0.3,1.5,0.0,0.55,0.313,0.0,0.0
