signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
latency_recovered,1.0,1.0,1.0,0.0,0.0,0.0,129,129,0,1
throughput_recovered,1.0,0.884,0.938,0.0,0.0,0.0,114,129,0,2
diagnosis_stable_2,1.0,0.86,0.925,0.0,0.0,0.0,111,129,0,3
diagnosis_margin_clear,1.0,0.744,0.853,0.0,0.0,0.0,96,129,0,4
queue_delay_recovered,1.0,0.659,0.794,0.0,0.0,0.0,85,129,0,5
diagnosis_confident,1.0,0.465,0.635,0.0,0.0,0.0,60,129,0,6
queue_pressure_low,1.0,0.434,0.605,0.0,0.0,0.0,56,129,0,7
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,129,0,8
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,129,0,9
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,129,0,10
memory_pressure_low,0.0,0.0,0.0,0.0,0.0,0.0,0,129,0,11
