signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
diagnosis_margin_clear,1.0,1.0,1.0,0.0,0.0,0.0,10,10,0,1
latency_recovered,1.0,1.0,1.0,0.0,0.0,0.0,10,10,0,2
diagnosis_stable_2,1.0,0.8,0.889,0.0,0.0,0.0,8,10,0,3
queue_delay_recovered,1.0,0.8,0.889,0.0,0.0,0.0,8,10,0,4
queue_pressure_low,1.0,0.7,0.824,0.0,0.0,0.0,7,10,0,5
throughput_recovered,1.0,0.7,0.824,0.0,0.0,0.0,7,10,0,6
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,7
diagnosis_confident,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,8
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,9
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,10
memory_pressure_low,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,11
