signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
latency_recovered,1.0,1.0,1.0,0.0,0.0,0.0,72,72,0,1
memory_pressure_low,1.0,1.0,1.0,0.0,0.0,0.0,72,72,0,2
queue_delay_recovered,1.0,1.0,1.0,0.0,0.0,0.0,72,72,0,3
throughput_recovered,1.0,0.917,0.957,0.0,0.0,0.0,66,72,0,4
diagnosis_stable_2,1.0,0.75,0.857,0.0,0.0,0.0,54,72,0,5
diagnosis_confident,1.0,0.667,0.8,0.0,0.0,0.0,48,72,0,6
queue_pressure_low,1.0,0.667,0.8,0.0,0.0,0.0,48,72,0,7
diagnosis_margin_clear,1.0,0.611,0.759,0.0,0.0,0.0,44,72,0,8
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,9
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,10
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,11
