scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
compute_saturation,5101,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.302,98.728,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5101,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.556,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5101,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.984,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5101,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.125,98.759,2.465,1.027,0.0,0.0,0.0,0.0,0.0
compute_saturation,5102,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.312,98.744,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5102,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,96.905,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5102,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.857,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5102,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.893,98.759,2.454,1.023,0.0,0.0,0.0,0.0,0.0
compute_saturation,5103,0,vllm_compute_saturation,vllm_compute_saturation,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.59,98.727,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5103,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.613,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5103,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.234,98.759,2.4,1.0,0.0,0.0,0.0,0.0,0.0
compute_saturation,5103,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.105,98.759,2.477,1.032,0.0,0.0,0.0,0.0,0.0
healthy,5101,0,vllm_healthy,vllm_healthy,1,0,0,0,0,0,1,1,0,0,0,1,0,1.0,0.0,93.933,97.795,0.2,0.8,0.0,0.0,0.0,0.0,0.0
healthy,5101,1,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.996,0.0,98.172,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5101,2,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.999,0.0,98.034,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5101,3,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,97.952,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,5102,0,vllm_healthy,vllm_healthy,1,0,0,0,0,0,1,1,0,0,0,1,0,1.0,0.0,94.069,97.795,0.2,0.8,0.0,0.0,0.0,0.0,0.0
healthy,5102,1,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.999,0.0,97.737,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5102,2,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.996,0.0,98.0,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5102,3,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,97.955,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,5103,0,vllm_healthy,vllm_healthy,1,0,0,0,0,0,1,1,0,0,0,1,0,1.0,0.0,93.368,97.795,0.2,0.8,0.0,0.0,0.0,0.0,0.0
healthy,5103,1,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.996,0.0,97.983,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5103,2,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,1,1,0,0.995,0.0,98.258,97.795,0.3,1.2,0.0,0.0,0.0,0.0,0.0
healthy,5103,3,vllm_healthy,vllm_healthy,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,97.864,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5101,0,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,94.079,98.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5101,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.085,98.759,0.8,1.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5101,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,98.828,98.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5101,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,97.821,98.759,0.725,0.907,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5102,0,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,94.677,98.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5102,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.919,98.759,0.8,1.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5102,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,98.857,98.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5102,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,98.411,98.759,0.726,0.907,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5103,0,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,95.662,98.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5103,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.754,98.759,0.8,1.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5103,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,98.788,98.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv_cache_pressure,5103,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0,0.0,97.881,98.759,0.726,0.907,0.0,0.0,0.0,0.0,0.0
long_output,5101,0,vllm_long_output,vllm_long_output,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.188,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5101,1,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.417,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5101,2,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.524,97.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5101,3,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.667,97.795,3.279,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5102,0,vllm_long_output,vllm_long_output,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.233,98.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5102,1,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.362,98.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5102,2,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.387,98.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5102,3,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.8,98.177,3.306,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5103,0,vllm_long_output,vllm_long_output,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,95.194,98.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5103,1,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.262,98.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5103,2,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.305,98.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_output,5103,3,vllm_long_output,vllm_long_output,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.2,98.177,3.245,0.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5101,0,vllm_long_prompt,vllm_long_prompt,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.108,98.744,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5101,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.629,98.759,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5101,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.016,98.759,0.7,1.75,0.0,0.0,0.0,0.0,0.0
long_prompt,5102,0,vllm_long_prompt,vllm_long_prompt,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.131,98.743,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5102,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,99.044,98.759,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5102,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.0,98.759,0.7,1.75,0.0,0.0,0.0,0.0,0.0
long_prompt,5103,0,vllm_long_prompt,vllm_long_prompt,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.754,98.743,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5103,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.375,98.759,0.4,1.0,0.0,0.0,0.0,0.0,0.0
long_prompt,5103,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.211,98.759,0.7,1.75,0.0,0.0,0.0,0.0,0.0
queue_pressure,5101,0,vllm_queue_pressure,vllm_queue_pressure,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.148,98.743,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5101,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.774,98.759,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5101,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.683,98.759,3.2,2.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5101,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.794,98.759,2.577,1.611,0.0,0.0,0.0,0.0,0.0
queue_pressure,5102,0,vllm_queue_pressure,vllm_queue_pressure,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,94.156,98.729,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5102,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.881,98.759,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5102,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.365,98.759,3.2,2.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5102,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,98.057,98.759,2.595,1.622,0.0,0.0,0.0,0.0,0.0
queue_pressure,5103,0,vllm_queue_pressure,vllm_queue_pressure,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,93.954,98.729,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5103,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.742,98.759,1.6,1.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5103,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.767,98.759,3.2,2.0,0.0,0.0,0.0,0.0,0.0
queue_pressure,5103,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,0.0,97.455,98.759,2.585,1.615,0.0,0.0,0.0,0.0,0.0
