scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
compute_saturation,5101,0,vllm_compute_saturation,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,1,1,1,0,1,1,0,0,1.0,72.983,86.901,93.319,9.6,1.0,0.292,0.777,0.152,0.0,0.0
compute_saturation,5101,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,0.995,25.18,91.5,93.327,9.6,1.0,0.101,0.811,0.187,0.0,0.0
compute_saturation,5101,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.987,3.798,91.887,93.334,9.6,1.0,0.015,0.813,0.19,0.0,0.0
compute_saturation,5101,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.992,8.114,91.0,93.337,35.45,3.693,0.032,0.807,0.183,0.0,0.0
compute_saturation,5102,0,vllm_compute_saturation,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,1,1,1,0,1,1,0,0,1.0,59.899,86.803,93.319,9.6,1.0,0.24,0.776,0.151,0.0,0.0
compute_saturation,5102,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.985,0.0,91.186,93.327,9.6,1.0,0.0,0.807,0.185,0.0,0.0
compute_saturation,5102,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.986,0.0,91.634,93.334,9.6,1.0,0.0,0.811,0.188,0.0,0.0
compute_saturation,5102,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.98,0.0,91.75,93.337,32.598,3.396,0.0,0.811,0.189,0.0,0.0
compute_saturation,5103,0,vllm_compute_saturation,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,49.693,86.648,93.406,9.6,1.0,0.199,0.775,0.15,0.0,0.0
compute_saturation,5103,1,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,0,0,0.999,27.324,90.817,93.42,9.6,1.0,0.109,0.806,0.181,0.0,0.0
compute_saturation,5103,2,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.991,3.958,91.371,93.426,9.6,1.0,0.016,0.809,0.186,0.0,0.0
compute_saturation,5103,3,vllm_compute_saturation,vllm_compute_saturation,1,0,1,0,1,1,1,1,0,1,1,1,0,0.989,0.0,90.833,93.429,27.896,2.906,0.0,0.805,0.182,0.0,0.0
healthy,5101,0,vllm_healthy,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,31.293,88.429,92.785,1.1,1.0,0.125,0.55,0.238,0.0,0.0
healthy,5101,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.99,5.208,91.845,92.785,1.1,1.0,0.021,0.55,0.263,0.0,0.0
healthy,5101,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.988,1.229,92.0,92.791,1.1,1.0,0.005,0.55,0.264,0.0,0.0
healthy,5101,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,93.0,92.795,0.0,0.0,0.0,0.55,0.272,0.0,0.0
healthy,5102,0,vllm_healthy,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,37.997,87.042,92.785,1.1,1.0,0.152,0.55,0.228,0.0,0.0
healthy,5102,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.987,4.532,92.043,92.785,1.1,1.0,0.018,0.55,0.264,0.0,0.0
healthy,5102,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.988,4.887,91.901,92.791,1.1,1.0,0.02,0.55,0.263,0.0,0.0
healthy,5102,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,93.0,92.795,0.0,0.0,0.0,0.55,0.272,0.0,0.0
healthy,5103,0,vllm_healthy,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,49.239,87.38,92.785,1.1,1.0,0.197,0.55,0.23,0.0,0.0
healthy,5103,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,1,0,0.988,7.226,92.143,92.785,1.1,1.0,0.029,0.55,0.265,0.0,0.0
healthy,5103,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,1,0,0,1.006,33.074,90.592,92.791,1.1,1.0,0.138,0.55,0.255,0.0,0.0
healthy,5103,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,1,0,1,0,0.0,0.0,92.5,92.795,0.0,0.0,0.0,0.55,0.269,0.0,0.0
kv_cache_pressure,5101,0,vllm_kv_cache_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,74.987,91.586,93.319,0.8,1.0,0.3,0.689,0.107,0.0,0.0
kv_cache_pressure,5101,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.985,2.19,94.493,93.327,1.6,2.0,0.009,0.688,0.13,0.0,0.0
kv_cache_pressure,5101,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,0,0,0.992,36.718,94.729,93.327,1.6,2.0,0.147,0.689,0.131,0.0,0.0
kv_cache_pressure,5101,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,0,0,0.993,32.185,91.6,93.327,10.065,12.582,0.129,0.689,0.108,0.0,0.0
kv_cache_pressure,5102,0,vllm_kv_cache_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,70.999,90.746,93.319,0.8,1.0,0.284,0.689,0.101,0.0,0.0
kv_cache_pressure,5102,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.986,11.195,94.743,93.327,1.6,2.0,0.045,0.688,0.132,0.0,0.0
kv_cache_pressure,5102,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.986,4.866,94.62,93.327,1.6,2.0,0.019,0.688,0.131,0.0,0.0
kv_cache_pressure,5102,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.984,0.0,93.0,93.327,11.462,14.327,0.0,0.688,0.118,0.0,0.0
kv_cache_pressure,5103,0,vllm_kv_cache_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,78.39,90.62,93.319,0.8,1.0,0.314,0.689,0.1,0.0,0.0
kv_cache_pressure,5103,1,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.986,17.5,94.5,93.327,1.6,2.0,0.07,0.688,0.13,0.0,0.0
kv_cache_pressure,5103,2,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.983,5.821,94.814,93.327,1.6,2.0,0.023,0.688,0.132,0.0,0.0
kv_cache_pressure,5103,3,vllm_kv_cache_pressure,vllm_kv_cache_pressure,1,0,1,0,1,0,1,1,0,1,1,1,0,0.988,14.544,93.6,93.327,10.406,13.007,0.058,0.688,0.123,0.0,0.0
long_output,5101,0,vllm_long_output,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,1,0,1.0,4.205,87.157,92.997,0.4,1.0,0.017,0.629,0.149,0.0,0.0
long_output,5101,1,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.989,0.0,92.282,93.002,0.4,1.0,0.0,0.636,0.18,0.0,0.0
long_output,5101,2,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.985,0.0,92.114,93.015,0.8,2.0,0.0,0.633,0.181,0.0,0.0
long_output,5101,3,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.987,0.0,92.45,93.028,0.525,1.313,0.0,0.654,0.163,0.0,0.0
long_output,5102,0,vllm_long_output,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,1,0,1.0,4.497,88.056,92.997,0.4,1.0,0.018,0.639,0.147,0.0,0.0
long_output,5102,1,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.992,0.0,92.057,93.001,0.4,1.0,0.0,0.637,0.177,0.0,0.0
long_output,5102,2,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.988,0.0,92.514,93.015,0.8,2.0,0.0,0.635,0.182,0.0,0.0
long_output,5102,3,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.984,0.0,92.949,93.029,0.532,1.33,0.0,0.643,0.177,0.0,0.0
long_output,5103,0,vllm_long_output,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,1,0,1.0,3.934,87.93,92.997,0.4,1.0,0.016,0.636,0.148,0.0,0.0
long_output,5103,1,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.989,0.0,92.186,93.001,0.4,1.0,0.0,0.647,0.168,0.0,0.0
