signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
diagnosis_stable_2,1.0,1.0,1.0,0.0,0.0,0.0,54,54,18,1
queue_pressure_low,0.938,0.833,0.882,0.062,0.167,0.091,48,54,18,2
latency_recovered,0.75,1.0,0.857,0.25,1.0,0.4,72,54,18,3
memory_pressure_low,0.75,1.0,0.857,0.25,1.0,0.4,72,54,18,4
queue_delay_recovered,0.75,1.0,0.857,0.25,1.0,0.4,72,54,18,5
throughput_recovered,0.727,0.889,0.8,0.273,1.0,0.429,66,54,18,6
diagnosis_margin_clear,0.818,0.667,0.735,0.182,0.444,0.258,44,54,18,7
diagnosis_confident,0.75,0.667,0.706,0.25,0.667,0.364,48,54,18,8
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,54,18,9
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,54,18,10
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,54,18,11
