signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
latency_recovered,0.739,1.0,0.85,0.261,1.0,0.414,69,51,18,1
queue_delay_recovered,0.739,1.0,0.85,0.261,1.0,0.414,69,51,18,2
queue_pressure_low,0.739,1.0,0.85,0.261,1.0,0.414,69,51,18,3
throughput_recovered,0.778,0.824,0.8,0.222,0.667,0.333,54,51,18,4
diagnosis_stable_2,1.0,0.647,0.786,0.0,0.0,0.0,33,51,18,5
diagnosis_changed_from_previous,1.0,0.353,0.522,0.0,0.0,0.0,18,51,18,6
diagnosis_confident,0.0,0.0,0.0,0.0,0.0,0.0,0,51,18,7
diagnosis_margin_clear,0.0,0.0,0.0,0.0,0.0,0.0,0,51,18,8
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,51,18,9
kernel_duration_stable,0.0,0.0,0.0,0.0,0.0,0.0,0,51,18,10
memory_pressure_low,0.0,0.0,0.0,0.0,0.0,0.0,0,51,18,11
