request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
7,compute_saturation,vllm_compute_saturation,1782223131.7466352,1782223133.9916344,2244.9991703033447,1,200,,115,128,68,183
9,compute_saturation,vllm_compute_saturation,1782223131.7487183,1782223134.0085328,2259.814500808716,1,200,,115,128,65,180
4,compute_saturation,vllm_compute_saturation,1782223131.7436576,1782223134.008774,2265.1164531707764,1,200,,115,128,67,182
1,compute_saturation,vllm_compute_saturation,1782223131.7393856,1782223134.0090473,2269.6616649627686,1,200,,115,128,65,180
2,compute_saturation,vllm_compute_saturation,1782223131.7403638,1782223134.009116,2268.752098083496,1,200,,115,128,63,178
6,compute_saturation,vllm_compute_saturation,1782223131.7457263,1782223134.0093477,2263.6213302612305,1,200,,115,128,67,182
3,compute_saturation,vllm_compute_saturation,1782223131.7429242,1782223134.009419,2266.4947509765625,1,200,,115,128,67,182
10,compute_saturation,vllm_compute_saturation,1782223131.749547,1782223134.0094824,2259.9353790283203,1,200,,115,128,65,180
8,compute_saturation,vllm_compute_saturation,1782223131.7479682,1782223134.0095367,2261.568546295166,1,200,,115,128,67,182
0,compute_saturation,vllm_compute_saturation,1782223131.737925,1782223134.0095942,2271.6691493988037,1,200,,115,128,67,182
15,compute_saturation,vllm_compute_saturation,1782223131.7534535,1782223134.0224044,2268.950939178467,1,200,,115,128,65,180
14,compute_saturation,vllm_compute_saturation,1782223131.7526205,1782223134.0232267,2270.606279373169,1,200,,115,128,65,180
16,compute_saturation,vllm_compute_saturation,1782223131.7540781,1782223134.0232875,2269.209384918213,1,200,,115,128,67,182
17,compute_saturation,vllm_compute_saturation,1782223131.7547312,1782223134.023354,2268.622875213623,1,200,,115,128,67,182
11,compute_saturation,vllm_compute_saturation,1782223131.7505126,1782223134.0234675,2272.9549407958984,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1782223131.7517548,1782223134.0236454,2271.890640258789,1,200,,115,128,67,182
12,compute_saturation,vllm_compute_saturation,1782223131.7511966,1782223134.0237005,2272.5038528442383,1,200,,115,128,67,182
5,compute_saturation,vllm_compute_saturation,1782223131.7447379,1782223134.023924,2279.186248779297,1,200,,115,128,67,182
18,compute_saturation,vllm_compute_saturation,1782223131.7551713,1782223134.0240002,2268.828868865967,1,200,,115,128,67,182
23,compute_saturation,vllm_compute_saturation,1782223131.757846,1782223134.0353441,2277.4980068206787,1,200,,115,128,67,182
20,compute_saturation,vllm_compute_saturation,1782223131.756314,1782223134.03546,2279.1459560394287,1,200,,115,128,65,180
22,compute_saturation,vllm_compute_saturation,1782223131.7574866,1782223134.0355353,2278.0487537384033,1,200,,115,128,67,182
21,compute_saturation,vllm_compute_saturation,1782223131.7570145,1782223134.0356057,2278.5911560058594,1,200,,115,128,67,182
19,compute_saturation,vllm_compute_saturation,1782223131.7557344,1782223134.0356622,2279.9277305603027,1,200,,115,128,67,182
25,compute_saturation,vllm_compute_saturation,1782223134.0365582,1782223136.2852743,2248.716115951538,1,200,,115,128,67,182
27,compute_saturation,vllm_compute_saturation,1782223134.0369077,1782223136.3063037,2269.3960666656494,1,200,,115,128,67,182
32,compute_saturation,vllm_compute_saturation,1782223134.037803,1782223136.3064573,2268.6543464660645,1,200,,115,128,67,182
29,compute_saturation,vllm_compute_saturation,1782223134.037201,1782223136.306599,2269.397974014282,1,200,,115,128,65,180
33,compute_saturation,vllm_compute_saturation,1782223134.0379524,1782223136.3067284,2268.7759399414062,1,200,,115,128,67,182
24,compute_saturation,vllm_compute_saturation,1782223134.0363376,1782223136.3068597,2270.522117614746,1,200,,115,128,67,182
30,compute_saturation,vllm_compute_saturation,1782223134.0373647,1782223136.306984,2269.6192264556885,1,200,,115,128,67,182
31,compute_saturation,vllm_compute_saturation,1782223134.037619,1782223136.3071053,2269.48618888855,1,200,,115,128,65,180
35,compute_saturation,vllm_compute_saturation,1782223134.0382783,1782223136.3072248,2268.946409225464,1,200,,115,128,65,180
28,compute_saturation,vllm_compute_saturation,1782223134.0370517,1782223136.3073292,2270.277500152588,1,200,,115,128,65,180
26,compute_saturation,vllm_compute_saturation,1782223134.0367374,1782223136.3074367,2270.6992626190186,1,200,,115,128,65,180
36,compute_saturation,vllm_compute_saturation,1782223134.0384972,1782223136.3176935,2279.196262359619,1,200,,115,128,67,182
37,compute_saturation,vllm_compute_saturation,1782223134.03894,1782223136.318932,2279.99210357666,1,200,,115,128,67,182
43,compute_saturation,vllm_compute_saturation,1782223134.040129,1782223136.3192987,2279.169797897339,1,200,,115,128,67,182
39,compute_saturation,vllm_compute_saturation,1782223134.0392973,1782223136.3196793,2280.381917953491,1,200,,115,128,65,180
34,compute_saturation,vllm_compute_saturation,1782223134.0381129,1782223136.319984,2281.8710803985596,1,200,,115,128,67,182
44,compute_saturation,vllm_compute_saturation,1782223134.0402794,1782223136.320096,2279.8166275024414,1,200,,115,128,65,180
41,compute_saturation,vllm_compute_saturation,1782223134.039804,1782223136.3202193,2280.4152965545654,1,200,,115,128,65,180
42,compute_saturation,vllm_compute_saturation,1782223134.0399373,1782223136.3203373,2280.400037765503,1,200,,115,128,65,180
38,compute_saturation,vllm_compute_saturation,1782223134.0391371,1782223136.3205502,2281.4130783081055,1,200,,115,128,67,182
45,compute_saturation,vllm_compute_saturation,1782223134.0405056,1782223136.3292198,2288.7141704559326,1,200,,115,128,65,180
46,compute_saturation,vllm_compute_saturation,1782223134.040659,1782223136.3295352,2288.8762950897217,1,200,,115,128,65,180
40,compute_saturation,vllm_compute_saturation,1782223134.0396461,1782223136.329719,2290.0729179382324,1,200,,115,128,65,180
47,compute_saturation,vllm_compute_saturation,1782223134.0409424,1782223136.3298528,2288.910388946533,1,200,,115,128,65,180
49,compute_saturation,vllm_compute_saturation,1782223136.3310926,1782223138.5920675,2260.974884033203,1,200,,115,128,65,180
56,compute_saturation,vllm_compute_saturation,1782223136.3333173,1782223138.6114674,2278.1500816345215,1,200,,115,128,65,180
54,compute_saturation,vllm_compute_saturation,1782223136.332655,1782223138.612247,2279.5920372009277,1,200,,115,128,65,180
55,compute_saturation,vllm_compute_saturation,1782223136.3330133,1782223138.612376,2279.362678527832,1,200,,115,128,65,180
50,compute_saturation,vllm_compute_saturation,1782223136.3313818,1782223138.6128185,2281.4366817474365,1,200,,115,128,67,182
51,compute_saturation,vllm_compute_saturation,1782223136.3317487,1782223138.6129699,2281.2211513519287,1,200,,115,128,65,180
53,compute_saturation,vllm_compute_saturation,1782223136.3323476,1782223138.6130877,2280.7400226593018,1,200,,115,128,65,180
48,compute_saturation,vllm_compute_saturation,1782223136.3307424,1782223138.61319,2282.447576522827,1,200,,115,128,65,180
52,compute_saturation,vllm_compute_saturation,1782223136.3320425,1782223138.6133268,2281.2843322753906,1,200,,115,128,65,180
57,compute_saturation,vllm_compute_saturation,1782223136.333806,1782223138.613447,2279.6409130096436,1,200,,115,128,67,182
60,compute_saturation,vllm_compute_saturation,1782223136.3351326,1782223138.6261563,2291.0237312316895,1,200,,115,128,59,174
59,compute_saturation,vllm_compute_saturation,1782223136.334565,1782223138.6262813,2291.7163372039795,1,200,,115,128,67,182
65,compute_saturation,vllm_compute_saturation,1782223136.3373227,1782223138.6264117,2289.0889644622803,1,200,,115,128,67,182
63,compute_saturation,vllm_compute_saturation,1782223136.3364098,1782223138.6265273,2290.1175022125244,1,200,,115,128,65,180
64,compute_saturation,vllm_compute_saturation,1782223136.3367612,1782223138.6266646,2289.903402328491,1,200,,115,128,72,187
61,compute_saturation,vllm_compute_saturation,1782223136.3354557,1782223138.62679,2291.334390640259,1,200,,115,128,65,180
58,compute_saturation,vllm_compute_saturation,1782223136.3341255,1782223138.6269233,2292.797803878784,1,200,,115,128,65,180
62,compute_saturation,vllm_compute_saturation,1782223136.336039,1782223138.6270318,2290.9927368164062,1,200,,115,128,65,180
66,compute_saturation,vllm_compute_saturation,1782223136.337666,1782223138.627129,2289.4630432128906,1,200,,115,128,65,180
69,compute_saturation,vllm_compute_saturation,1782223136.3389735,1782223138.637158,2298.184394836426,1,200,,115,128,65,180
68,compute_saturation,vllm_compute_saturation,1782223136.3387008,1782223138.6372907,2298.5899448394775,1,200,,115,128,65,180
70,compute_saturation,vllm_compute_saturation,1782223136.3392632,1782223138.637401,2298.137903213501,1,200,,115,128,112,227
67,compute_saturation,vllm_compute_saturation,1782223136.3382812,1782223138.6375148,2299.2336750030518,1,200,,115,128,65,180
71,compute_saturation,vllm_compute_saturation,1782223136.3395748,1782223138.6376393,2298.0644702911377,1,200,,115,128,127,242
73,compute_saturation,vllm_compute_saturation,1782223138.638884,1782223140.925816,2286.9319915771484,1,200,,115,128,65,180
77,compute_saturation,vllm_compute_saturation,1782223138.640168,1782223140.9432864,2303.1184673309326,1,200,,115,128,93,208
75,compute_saturation,vllm_compute_saturation,1782223138.6395562,1782223140.944111,2304.5549392700195,1,200,,115,128,63,178
79,compute_saturation,vllm_compute_saturation,1782223138.641257,1782223140.944299,2303.041934967041,1,200,,115,128,104,219
74,compute_saturation,vllm_compute_saturation,1782223138.6392064,1782223140.944518,2305.311679840088,1,200,,115,128,65,180
82,compute_saturation,vllm_compute_saturation,1782223138.6423926,1782223140.9446144,2302.2217750549316,1,200,,115,128,102,217
