request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782222391.4628997,1782222392.4155412,952.641487121582,1,200,,156,64,58,214
1,healthy,vllm_healthy,1782222392.4161818,1782222393.283942,867.760181427002,1,200,,156,64,59,215
2,healthy,vllm_healthy,1782222393.284348,1782222394.1679795,883.6314678192139,1,200,,156,64,55,211
3,healthy,vllm_healthy,1782222394.1682866,1782222395.0491443,880.8577060699463,1,200,,156,64,58,214
4,healthy,vllm_healthy,1782222395.0494897,1782222395.938996,889.5063400268555,1,200,,156,64,58,214
5,healthy,vllm_healthy,1782222395.9392915,1782222396.822412,883.1205368041992,1,200,,156,64,58,214
6,healthy,vllm_healthy,1782222396.8227727,1782222397.7011921,878.4193992614746,1,200,,156,64,55,211
7,healthy,vllm_healthy,1782222397.7015424,1782222398.5806925,879.1501522064209,1,200,,156,64,58,214
8,healthy,vllm_healthy,1782222398.5810235,1782222399.471898,890.8746242523193,1,200,,156,64,55,211
9,healthy,vllm_healthy,1782222399.472213,1782222400.3431787,870.9657192230225,1,200,,156,64,55,211
10,healthy,vllm_healthy,1782222400.3437235,1782222401.2191563,875.4327297210693,1,200,,156,64,55,211
11,healthy,vllm_healthy,1782222401.219572,1782222402.0863042,866.732120513916,1,200,,156,64,55,211
12,healthy,vllm_healthy,1782222402.0867696,1782222402.9548993,868.1297302246094,1,200,,156,64,56,212
13,healthy,vllm_healthy,1782222402.9553702,1782222403.8238897,868.5195446014404,1,200,,156,64,59,215
14,healthy,vllm_healthy,1782222403.8242967,1782222404.690745,866.4484024047852,1,200,,156,64,58,214
15,healthy,vllm_healthy,1782222404.6911154,1782222405.5610406,869.9252605438232,1,200,,156,64,56,212
16,healthy,vllm_healthy,1782222405.5614057,1782222406.4478955,886.4898681640625,1,200,,156,64,55,211
17,healthy,vllm_healthy,1782222406.4481318,1782222407.3222535,874.1216659545898,1,200,,156,64,55,211
18,healthy,vllm_healthy,1782222407.3224738,1782222408.2034874,881.0136318206787,1,200,,156,64,59,215
19,healthy,vllm_healthy,1782222408.2037504,1782222409.0819237,878.1733512878418,1,200,,156,64,56,212
20,healthy,vllm_healthy,1782222409.0857332,1782222409.967255,881.5219402313232,1,200,,156,64,56,212
21,healthy,vllm_healthy,1782222409.9676273,1782222410.8486364,881.0091018676758,1,200,,156,64,58,214
22,healthy,vllm_healthy,1782222410.8491259,1782222411.7233443,874.2184638977051,1,200,,156,64,58,214
23,healthy,vllm_healthy,1782222411.723817,1782222412.6003056,876.488447189331,1,200,,156,64,56,212
24,healthy,vllm_healthy,1782222412.600794,1782222413.4668288,866.034746170044,1,200,,156,64,55,211
25,healthy,vllm_healthy,1782222413.467283,1782222414.3335545,866.2714958190918,1,200,,156,64,56,212
26,healthy,vllm_healthy,1782222414.3340666,1782222415.2006972,866.6305541992188,1,200,,156,64,58,214
27,healthy,vllm_healthy,1782222415.201101,1782222416.067651,866.5499687194824,1,200,,156,64,56,212
28,healthy,vllm_healthy,1782222416.0680697,1782222416.9348664,866.7967319488525,1,200,,156,64,58,214
29,healthy,vllm_healthy,1782222416.9352982,1782222417.8029122,867.6140308380127,1,200,,156,64,56,212
30,healthy,vllm_healthy,1782222417.803327,1782222418.6722894,868.962287902832,1,200,,156,64,55,211
31,healthy,vllm_healthy,1782222418.672704,1782222419.5416348,868.9308166503906,1,200,,156,64,58,214
32,healthy,vllm_healthy,1782222419.5420642,1782222420.4099877,867.9234981536865,1,200,,156,64,56,212
33,healthy,vllm_healthy,1782222420.4104447,1782222421.2769604,866.5156364440918,1,200,,156,64,56,212
34,healthy,vllm_healthy,1782222421.2773764,1782222422.142865,865.4885292053223,1,200,,156,64,55,211
35,healthy,vllm_healthy,1782222422.143313,1782222423.0083911,865.0782108306885,1,200,,156,64,55,211
36,healthy,vllm_healthy,1782222423.0088553,1782222423.8749099,866.0545349121094,1,200,,156,64,56,212
37,healthy,vllm_healthy,1782222423.8754427,1782222424.7415366,866.0938739776611,1,200,,156,64,58,214
38,healthy,vllm_healthy,1782222424.7420514,1782222425.6078,865.7486438751221,1,200,,156,64,55,211
39,healthy,vllm_healthy,1782222425.6081665,1782222426.4738486,865.6821250915527,1,200,,156,64,56,212
40,healthy,vllm_healthy,1782222426.4742312,1782222427.3391314,864.9001121520996,1,200,,156,64,58,214
41,healthy,vllm_healthy,1782222427.3396237,1782222428.2049522,865.3285503387451,1,200,,156,64,56,212
42,healthy,vllm_healthy,1782222428.2054324,1782222429.0715153,866.0829067230225,1,200,,156,64,56,212
43,healthy,vllm_healthy,1782222429.071981,1782222429.9375708,865.5898571014404,1,200,,156,64,56,212
44,healthy,vllm_healthy,1782222429.9380245,1782222430.8042738,866.2493228912354,1,200,,156,64,56,212
45,healthy,vllm_healthy,1782222430.8046963,1782222431.676911,872.2147941589355,1,200,,156,64,56,212
46,healthy,vllm_healthy,1782222431.6773806,1782222432.5551326,877.7520656585693,1,200,,156,64,55,211
47,healthy,vllm_healthy,1782222432.5555804,1782222433.4336286,878.0481815338135,1,200,,156,64,56,212
48,healthy,vllm_healthy,1782222433.434155,1782222434.3092325,875.077486038208,1,200,,156,64,56,212
49,healthy,vllm_healthy,1782222434.3096888,1782222435.1961966,886.5077495574951,1,200,,156,64,56,212
50,healthy,vllm_healthy,1782222435.1989021,1782222436.075482,876.579761505127,1,200,,156,64,59,215
51,healthy,vllm_healthy,1782222436.0759156,1782222436.9530365,877.1209716796875,1,200,,156,64,59,215
52,healthy,vllm_healthy,1782222436.953417,1782222437.8213594,867.9423332214355,1,200,,156,64,56,212
53,healthy,vllm_healthy,1782222437.8218176,1782222438.6912804,869.4627285003662,1,200,,156,64,56,212
54,healthy,vllm_healthy,1782222438.6918795,1782222439.5557976,863.9180660247803,1,200,,156,64,56,212
55,healthy,vllm_healthy,1782222439.5562081,1782222440.4179425,861.7343902587891,1,200,,156,64,56,212
56,healthy,vllm_healthy,1782222440.4183347,1782222441.281157,862.8222942352295,1,200,,156,64,55,211
57,healthy,vllm_healthy,1782222441.2817016,1782222442.1594055,877.7039051055908,1,200,,156,64,55,211
58,healthy,vllm_healthy,1782222442.1599085,1782222443.03548,875.5714893341064,1,200,,156,64,55,211
59,healthy,vllm_healthy,1782222443.0360146,1782222443.9155157,879.5011043548584,1,200,,156,64,56,212
60,healthy,vllm_healthy,1782222443.9159691,1782222444.7947745,878.80539894104,1,200,,156,64,58,214
61,healthy,vllm_healthy,1782222444.7952743,1782222445.6737738,878.4995079040527,1,200,,156,64,56,212
62,healthy,vllm_healthy,1782222445.6742318,1782222446.566152,891.9203281402588,1,200,,156,64,56,212
63,healthy,vllm_healthy,1782222446.5666258,1782222447.442152,875.5261898040771,1,200,,156,64,56,212
64,healthy,vllm_healthy,1782222447.4425821,1782222448.3158529,873.2707500457764,1,200,,156,64,56,212
65,healthy,vllm_healthy,1782222448.316486,1782222449.1887014,872.2155094146729,1,200,,156,64,56,212
66,healthy,vllm_healthy,1782222449.1891127,1782222450.0568464,867.7337169647217,1,200,,156,64,56,212
67,healthy,vllm_healthy,1782222450.057289,1782222450.924657,867.368221282959,1,200,,156,64,56,212
68,healthy,vllm_healthy,1782222450.9250474,1782222451.7929277,867.8803443908691,1,200,,156,64,56,212
