request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782222451.9511342,1782222452.820076,868.9417839050293,1,200,,156,64,62,218
1,healthy,vllm_healthy,1782222452.820439,1782222453.6881034,867.6643371582031,1,200,,156,64,59,215
2,healthy,vllm_healthy,1782222453.6884592,1782222454.5572498,868.7906265258789,1,200,,156,64,55,211
3,healthy,vllm_healthy,1782222454.5576725,1782222455.4253037,867.631196975708,1,200,,156,64,55,211
4,healthy,vllm_healthy,1782222455.4256556,1782222456.2965534,870.8977699279785,1,200,,156,64,55,211
5,healthy,vllm_healthy,1782222456.2969186,1782222457.1643014,867.3827648162842,1,200,,156,64,58,214
6,healthy,vllm_healthy,1782222457.1647062,1782222458.0324733,867.7670955657959,1,200,,156,64,55,211
7,healthy,vllm_healthy,1782222458.0328689,1782222458.9003003,867.4314022064209,1,200,,156,64,55,211
8,healthy,vllm_healthy,1782222458.90082,1782222459.7672763,866.4562702178955,1,200,,156,64,55,211
9,healthy,vllm_healthy,1782222459.7676766,1782222460.6358669,868.1902885437012,1,200,,156,64,55,211
10,healthy,vllm_healthy,1782222460.6362104,1782222461.5039725,867.7620887756348,1,200,,156,64,55,211
11,healthy,vllm_healthy,1782222461.504301,1782222462.372193,867.8920269012451,1,200,,156,64,56,212
12,healthy,vllm_healthy,1782222462.3725436,1782222463.239608,867.0644760131836,1,200,,156,64,56,212
13,healthy,vllm_healthy,1782222463.2399902,1782222464.1087337,868.7434196472168,1,200,,156,64,55,211
14,healthy,vllm_healthy,1782222464.1091256,1782222464.976494,867.3684597015381,1,200,,156,64,58,214
15,healthy,vllm_healthy,1782222464.9768744,1782222465.844788,867.9137229919434,1,200,,156,64,55,211
16,healthy,vllm_healthy,1782222465.8451498,1782222466.7132874,868.1375980377197,1,200,,156,64,58,214
17,healthy,vllm_healthy,1782222466.7136667,1782222467.5823944,868.7276840209961,1,200,,156,64,58,214
18,healthy,vllm_healthy,1782222467.582781,1782222468.4497654,866.9843673706055,1,200,,156,64,56,212
19,healthy,vllm_healthy,1782222468.450114,1782222469.319306,869.1918849945068,1,200,,156,64,56,212
20,healthy,vllm_healthy,1782222469.3196747,1782222470.1929696,873.2948303222656,1,200,,156,64,56,212
21,healthy,vllm_healthy,1782222470.1932213,1782222471.073563,880.3417682647705,1,200,,156,64,55,211
22,healthy,vllm_healthy,1782222471.073933,1782222471.9535046,879.5716762542725,1,200,,156,64,56,212
23,healthy,vllm_healthy,1782222471.9539099,1782222472.8360684,882.1585178375244,1,200,,156,64,56,212
24,healthy,vllm_healthy,1782222472.8364296,1782222473.712957,876.5273094177246,1,200,,156,64,56,212
25,healthy,vllm_healthy,1782222473.7133503,1782222474.5930223,879.6720504760742,1,200,,156,64,56,212
26,healthy,vllm_healthy,1782222474.5933352,1782222475.4676018,874.2666244506836,1,200,,156,64,55,211
27,healthy,vllm_healthy,1782222475.4679754,1782222476.34255,874.5746612548828,1,200,,156,64,55,211
28,healthy,vllm_healthy,1782222476.342922,1782222477.2180798,875.1578330993652,1,200,,156,64,55,211
29,healthy,vllm_healthy,1782222477.218387,1782222478.0859149,867.527961730957,1,200,,156,64,55,211
30,healthy,vllm_healthy,1782222478.0862184,1782222478.953347,867.1286106109619,1,200,,156,64,55,211
31,healthy,vllm_healthy,1782222478.9537334,1782222479.8195481,865.8146858215332,1,200,,156,64,55,211
32,healthy,vllm_healthy,1782222479.8198736,1782222480.6855812,865.7076358795166,1,200,,156,64,55,211
33,healthy,vllm_healthy,1782222480.6858969,1782222481.5633929,877.4960041046143,1,200,,156,64,55,211
