request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
4,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4761965,1782223441.3629243,4886.727809906006,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4724631,1782223441.3928847,4920.421600341797,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4745727,1782223441.4219646,4947.391986846924,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4771109,1782223441.4365041,4959.393262863159,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4709544,1782223441.4657888,4994.834423065186,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4694405,1782223441.4944258,5024.985313415527,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.478776,1782223441.5220191,5043.243169784546,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1782223436.4781582,1782223441.5365567,5058.398485183716,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5384889,1782223446.4321136,4893.624782562256,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5389037,1782223446.464808,4925.904273986816,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5403473,1782223446.4937685,4953.421115875244,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5380812,1782223446.5073395,4969.2583084106445,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5376263,1782223446.535531,4997.9047775268555,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5407536,1782223446.563173,5022.419452667236,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.53928,1782223446.5935044,5054.224491119385,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1782223441.5397036,1782223446.6050172,5065.3135776519775,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6056619,1782223451.5181653,4912.503480911255,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6069298,1782223451.5479715,4941.041707992554,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6065538,1782223451.577386,4970.832109451294,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6073368,1782223451.5919573,4984.620571136475,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6079216,1782223451.6201851,5012.263536453247,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6061873,1782223451.6488256,5042.638301849365,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6084528,1782223451.6768203,5068.367481231689,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1782223446.6091087,1782223451.6917984,5082.6897621154785,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1782223451.6948268,1782223456.588321,4893.494129180908,1,200,,1592,192,86,1678
