request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
3,long_output,vllm_long_output,1782223004.7296119,1782223011.7433596,7013.747692108154,1,200,,198,512,396,594
0,long_output,vllm_long_output,1782223004.7257915,1782223011.7573082,7031.516790390015,1,200,,198,512,413,611
1,long_output,vllm_long_output,1782223004.727118,1782223011.7600007,7032.8826904296875,1,200,,198,512,401,599
2,long_output,vllm_long_output,1782223004.7279534,1782223011.7634776,7035.524129867554,1,200,,198,512,423,621
4,long_output,vllm_long_output,1782223011.7657948,1782223018.8245666,7058.771848678589,1,200,,198,512,424,622
7,long_output,vllm_long_output,1782223011.7686315,1782223018.8366492,7068.0177211761475,1,200,,198,512,418,616
5,long_output,vllm_long_output,1782223011.7677944,1782223018.8367624,7068.968057632446,1,200,,198,512,419,617
6,long_output,vllm_long_output,1782223011.7683,1782223018.836854,7068.553924560547,1,200,,198,512,418,616
8,long_output,vllm_long_output,1782223018.8372598,1782223025.896863,7059.603214263916,1,200,,198,512,400,598
11,long_output,vllm_long_output,1782223018.8378277,1782223025.911757,7073.929309844971,1,200,,198,512,414,612
9,long_output,vllm_long_output,1782223018.8374896,1782223025.911951,7074.461460113525,1,200,,198,512,415,613
10,long_output,vllm_long_output,1782223018.8376822,1782223025.9120681,7074.38588142395,1,200,,198,512,398,596
13,long_output,vllm_long_output,1782223025.9128692,1782223032.8801436,6967.27442741394,1,200,,198,512,415,613
14,long_output,vllm_long_output,1782223025.9131484,1782223032.8949366,6981.788158416748,1,200,,198,512,410,608
15,long_output,vllm_long_output,1782223025.9133584,1782223032.8951247,6981.766223907471,1,200,,198,512,406,604
12,long_output,vllm_long_output,1782223025.912512,1782223032.8952925,6982.780456542969,1,200,,198,512,416,614
16,long_output,vllm_long_output,1782223032.895927,1782223039.9563582,7060.431241989136,1,200,,198,512,416,614
19,long_output,vllm_long_output,1782223032.8969977,1782223039.9713483,7074.350595474243,1,200,,198,512,418,616
17,long_output,vllm_long_output,1782223032.8962994,1782223039.971577,7075.27756690979,1,200,,198,512,416,614
18,long_output,vllm_long_output,1782223032.8966365,1782223039.971763,7075.12640953064,1,200,,198,512,415,613
20,long_output,vllm_long_output,1782223039.9723315,1782223046.9680917,6995.760202407837,1,200,,198,512,405,603
23,long_output,vllm_long_output,1782223039.9733145,1782223046.9828804,7009.565830230713,1,200,,198,512,415,613
22,long_output,vllm_long_output,1782223039.9730263,1782223046.9846518,7011.625528335571,1,200,,198,512,419,617
21,long_output,vllm_long_output,1782223039.9727,1782223046.984959,7012.258768081665,1,200,,198,512,401,599
24,long_output,vllm_long_output,1782223046.9852965,1782223054.0231946,7037.898063659668,1,200,,198,512,413,611
25,long_output,vllm_long_output,1782223046.9855144,1782223054.0382493,7052.734851837158,1,200,,198,512,411,609
26,long_output,vllm_long_output,1782223046.985719,1782223054.0384176,7052.698612213135,1,200,,198,512,420,618
27,long_output,vllm_long_output,1782223046.9858642,1782223054.0385776,7052.713394165039,1,200,,198,512,406,604
29,long_output,vllm_long_output,1782223054.039551,1782223060.9812202,6941.669225692749,1,200,,198,512,398,596
28,long_output,vllm_long_output,1782223054.039189,1782223061.1023986,7063.209533691406,1,200,,198,512,426,624
31,long_output,vllm_long_output,1782223054.0402277,1782223061.1175656,7077.337980270386,1,200,,198,512,405,603
30,long_output,vllm_long_output,1782223054.039905,1782223061.1177018,7077.796697616577,1,200,,198,512,414,612
33,long_output,vllm_long_output,1782223061.1183422,1782223068.1682396,7049.8974323272705,1,200,,198,512,401,599
32,long_output,vllm_long_output,1782223061.118077,1782223068.182028,7063.951015472412,1,200,,198,512,411,609
35,long_output,vllm_long_output,1782223061.118815,1782223068.182182,7063.367128372192,1,200,,198,512,400,598
34,long_output,vllm_long_output,1782223061.1185496,1782223068.1822667,7063.7171268463135,1,200,,198,512,407,605
