request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782222634.5015702,1782222636.2101808,1708.6105346679688,1,200,,156,96,95,251
3,queue_pressure,vllm_queue_pressure,1782222634.5060184,1782222636.2246509,1718.632459640503,1,200,,156,96,93,249
1,queue_pressure,vllm_queue_pressure,1782222634.5029173,1782222636.224784,1721.8666076660156,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782222634.5089078,1782222636.2249172,1716.0093784332275,1,200,,156,96,93,249
6,queue_pressure,vllm_queue_pressure,1782222634.50953,1782222636.2252846,1715.754508972168,1,200,,156,96,95,251
2,queue_pressure,vllm_queue_pressure,1782222634.5038824,1782222636.2254028,1721.5204238891602,1,200,,156,96,85,241
4,queue_pressure,vllm_queue_pressure,1782222634.506798,1782222636.2256114,1718.813419342041,1,200,,156,96,95,251
13,queue_pressure,vllm_queue_pressure,1782222634.5139444,1782222636.239251,1725.306510925293,1,200,,156,96,90,246
10,queue_pressure,vllm_queue_pressure,1782222634.5122657,1782222636.2401114,1727.8456687927246,1,200,,156,96,91,247
9,queue_pressure,vllm_queue_pressure,1782222634.5116115,1782222636.240319,1728.7075519561768,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782222634.5101728,1782222636.2404444,1730.271577835083,1,200,,156,96,85,241
8,queue_pressure,vllm_queue_pressure,1782222634.5108585,1782222636.240602,1729.743480682373,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782222634.5130324,1782222636.241061,1728.0285358428955,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782222634.513543,1782222636.2411747,1727.6318073272705,1,200,,156,96,85,241
15,queue_pressure,vllm_queue_pressure,1782222634.515009,1782222636.2526984,1737.68949508667,1,200,,156,96,85,241
14,queue_pressure,vllm_queue_pressure,1782222634.5143657,1782222636.25288,1738.5144233703613,1,200,,156,96,85,241
17,queue_pressure,vllm_queue_pressure,1782222636.2538412,1782222637.971781,1717.939853668213,1,200,,156,96,89,245
19,queue_pressure,vllm_queue_pressure,1782222636.2545054,1782222637.9719574,1717.452049255371,1,200,,156,96,89,245
16,queue_pressure,vllm_queue_pressure,1782222636.2535076,1782222637.9720838,1718.576192855835,1,200,,156,96,88,244
20,queue_pressure,vllm_queue_pressure,1782222636.2548592,1782222637.9874058,1732.5465679168701,1,200,,156,96,94,250
21,queue_pressure,vllm_queue_pressure,1782222636.255158,1782222637.9880633,1732.905387878418,1,200,,156,96,86,242
24,queue_pressure,vllm_queue_pressure,1782222636.25634,1782222637.9882443,1731.9042682647705,1,200,,156,96,86,242
22,queue_pressure,vllm_queue_pressure,1782222636.2555208,1782222637.9883597,1732.8388690948486,1,200,,156,96,86,242
23,queue_pressure,vllm_queue_pressure,1782222636.2558987,1782222637.9884856,1732.5868606567383,1,200,,156,96,89,245
18,queue_pressure,vllm_queue_pressure,1782222636.2541504,1782222637.9886303,1734.4799041748047,1,200,,156,96,89,245
28,queue_pressure,vllm_queue_pressure,1782222636.2576747,1782222638.0037258,1746.0510730743408,1,200,,156,96,86,242
31,queue_pressure,vllm_queue_pressure,1782222636.2587504,1782222638.0038574,1745.1069355010986,1,200,,156,96,86,242
25,queue_pressure,vllm_queue_pressure,1782222636.256697,1782222638.0039854,1747.288465499878,1,200,,156,96,97,253
30,queue_pressure,vllm_queue_pressure,1782222636.2583036,1782222638.0041196,1745.8159923553467,1,200,,156,96,89,245
29,queue_pressure,vllm_queue_pressure,1782222636.2579272,1782222638.0042312,1746.3040351867676,1,200,,156,96,89,245
26,queue_pressure,vllm_queue_pressure,1782222636.2570093,1782222638.004333,1747.323751449585,1,200,,156,96,85,241
27,queue_pressure,vllm_queue_pressure,1782222636.2574704,1782222638.0044367,1746.9663619995117,1,200,,156,96,86,242
33,queue_pressure,vllm_queue_pressure,1782222638.0054975,1782222639.7263777,1720.8802700042725,1,200,,156,96,94,250
36,queue_pressure,vllm_queue_pressure,1782222638.006581,1782222639.7440715,1737.4904155731201,1,200,,156,96,89,245
35,queue_pressure,vllm_queue_pressure,1782222638.0061505,1782222639.744672,1738.5215759277344,1,200,,156,96,89,245
37,queue_pressure,vllm_queue_pressure,1782222638.0069523,1782222639.7448678,1737.9155158996582,1,200,,156,96,86,242
32,queue_pressure,vllm_queue_pressure,1782222638.0051386,1782222639.7450075,1739.8688793182373,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782222638.0074391,1782222639.745137,1737.6978397369385,1,200,,156,96,89,245
34,queue_pressure,vllm_queue_pressure,1782222638.0058417,1782222639.7452548,1739.4130229949951,1,200,,156,96,86,242
42,queue_pressure,vllm_queue_pressure,1782222638.0096245,1782222639.7590759,1749.4513988494873,1,200,,156,96,91,247
45,queue_pressure,vllm_queue_pressure,1782222638.010919,1782222639.7592096,1748.2905387878418,1,200,,156,96,89,245
40,queue_pressure,vllm_queue_pressure,1782222638.008488,1782222639.7593353,1750.847339630127,1,200,,156,96,90,246
41,queue_pressure,vllm_queue_pressure,1782222638.0090299,1782222639.7594645,1750.4346370697021,1,200,,156,96,89,245
44,queue_pressure,vllm_queue_pressure,1782222638.0104728,1782222639.7596002,1749.1273880004883,1,200,,156,96,89,245
43,queue_pressure,vllm_queue_pressure,1782222638.0099576,1782222639.7597227,1749.765157699585,1,200,,156,96,86,242
39,queue_pressure,vllm_queue_pressure,1782222638.0078864,1782222639.759831,1751.9445419311523,1,200,,156,96,89,245
46,queue_pressure,vllm_queue_pressure,1782222638.0113583,1782222639.7693608,1758.002519607544,1,200,,156,96,94,250
47,queue_pressure,vllm_queue_pressure,1782222638.0119064,1782222639.7694864,1757.580041885376,1,200,,156,96,86,242
49,queue_pressure,vllm_queue_pressure,1782222639.770502,1782222641.493276,1722.773790359497,1,200,,156,96,89,245
48,queue_pressure,vllm_queue_pressure,1782222639.770158,1782222641.5108633,1740.7052516937256,1,200,,156,96,91,247
56,queue_pressure,vllm_queue_pressure,1782222639.772924,1782222641.5114255,1738.5015487670898,1,200,,156,96,97,253
54,queue_pressure,vllm_queue_pressure,1782222639.7722332,1782222641.5116243,1739.3910884857178,1,200,,156,96,99,255
52,queue_pressure,vllm_queue_pressure,1782222639.7715583,1782222641.5117643,1740.206003189087,1,200,,156,96,94,250
51,queue_pressure,vllm_queue_pressure,1782222639.771235,1782222641.5119,1740.6649589538574,1,200,,156,96,94,250
50,queue_pressure,vllm_queue_pressure,1782222639.7708914,1782222641.51203,1741.1384582519531,1,200,,156,96,98,254
61,queue_pressure,vllm_queue_pressure,1782222639.7754412,1782222641.5257938,1750.3526210784912,1,200,,156,96,89,245
58,queue_pressure,vllm_queue_pressure,1782222639.773943,1782222641.525927,1751.9841194152832,1,200,,156,96,94,250
55,queue_pressure,vllm_queue_pressure,1782222639.772564,1782222641.5260541,1753.4902095794678,1,200,,156,96,99,255
53,queue_pressure,vllm_queue_pressure,1782222639.771885,1782222641.5261776,1754.2927265167236,1,200,,156,96,99,255
59,queue_pressure,vllm_queue_pressure,1782222639.774281,1782222641.5262902,1752.0091533660889,1,200,,156,96,94,250
60,queue_pressure,vllm_queue_pressure,1782222639.7751167,1782222641.5263898,1751.2731552124023,1,200,,156,96,89,245
57,queue_pressure,vllm_queue_pressure,1782222639.773459,1782222641.5264964,1753.037452697754,1,200,,156,96,94,250
62,queue_pressure,vllm_queue_pressure,1782222639.7757828,1782222641.5360267,1760.2438926696777,1,200,,156,96,94,250
63,queue_pressure,vllm_queue_pressure,1782222639.7761526,1782222641.5361607,1760.0080966949463,1,200,,156,96,89,245
