request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,compute_saturation,vllm_compute_saturation,1781809847.3871794,1781809856.9533281,9566.14875793457,1,200,,115,128,68,183
14,compute_saturation,vllm_compute_saturation,1781809847.3974721,1781809857.0235214,9626.049280166626,1,200,,115,128,67,182
4,compute_saturation,vllm_compute_saturation,1781809847.388529,1781809857.024699,9636.169910430908,1,200,,115,128,67,182
12,compute_saturation,vllm_compute_saturation,1781809847.394471,1781809857.0248296,9630.358695983887,1,200,,115,128,67,182
3,compute_saturation,vllm_compute_saturation,1781809847.387773,1781809857.0249457,9637.17269897461,1,200,,115,128,60,175
0,compute_saturation,vllm_compute_saturation,1781809847.3851283,1781809857.02533,9640.201807022095,1,200,,115,128,67,182
5,compute_saturation,vllm_compute_saturation,1781809847.389822,1781809857.0256438,9635.82181930542,1,200,,115,128,65,180
6,compute_saturation,vllm_compute_saturation,1781809847.3903332,1781809857.0258787,9635.545492172241,1,200,,115,128,67,182
13,compute_saturation,vllm_compute_saturation,1781809847.394849,1781809857.026068,9631.218910217285,1,200,,115,128,67,182
1,compute_saturation,vllm_compute_saturation,1781809847.386536,1781809857.026214,9639.678001403809,1,200,,115,128,65,180
15,compute_saturation,vllm_compute_saturation,1781809847.3983927,1781809857.0866084,9688.215732574463,1,200,,115,128,67,182
20,compute_saturation,vllm_compute_saturation,1781809847.4018974,1781809857.0867846,9684.887170791626,1,200,,115,128,67,182
9,compute_saturation,vllm_compute_saturation,1781809847.392563,1781809857.0872688,9694.705724716187,1,200,,115,128,65,180
17,compute_saturation,vllm_compute_saturation,1781809847.399835,1781809857.0874043,9687.56914138794,1,200,,115,128,65,180
8,compute_saturation,vllm_compute_saturation,1781809847.3919885,1781809857.087538,9695.549488067627,1,200,,115,128,67,182
10,compute_saturation,vllm_compute_saturation,1781809847.3933344,1781809857.0879288,9694.594383239746,1,200,,115,128,67,182
7,compute_saturation,vllm_compute_saturation,1781809847.391151,1781809857.088365,9697.214126586914,1,200,,115,128,67,182
18,compute_saturation,vllm_compute_saturation,1781809847.40053,1781809857.088526,9687.995910644531,1,200,,115,128,65,180
16,compute_saturation,vllm_compute_saturation,1781809847.3989975,1781809857.0886705,9689.672946929932,1,200,,115,128,65,180
19,compute_saturation,vllm_compute_saturation,1781809847.401349,1781809857.088797,9687.448024749756,1,200,,115,128,67,182
11,compute_saturation,vllm_compute_saturation,1781809847.3939118,1781809857.1411877,9747.275829315186,1,200,,115,128,65,180
21,compute_saturation,vllm_compute_saturation,1781809847.4028883,1781809857.141552,9738.663673400879,1,200,,115,128,67,182
23,compute_saturation,vllm_compute_saturation,1781809847.404803,1781809857.1417553,9736.952304840088,1,200,,115,128,67,182
22,compute_saturation,vllm_compute_saturation,1781809847.4039161,1781809857.1418867,9737.97059059143,1,200,,115,128,67,182
24,compute_saturation,vllm_compute_saturation,1781809857.142672,1781809866.7065744,9563.902378082275,1,200,,115,128,67,182
28,compute_saturation,vllm_compute_saturation,1781809857.1441348,1781809866.777757,9633.622169494629,1,200,,115,128,65,180
31,compute_saturation,vllm_compute_saturation,1781809857.1451924,1781809866.7787788,9633.586406707764,1,200,,115,128,65,180
26,compute_saturation,vllm_compute_saturation,1781809857.1434345,1781809866.7792249,9635.790348052979,1,200,,115,128,65,180
30,compute_saturation,vllm_compute_saturation,1781809857.1448581,1781809866.779444,9634.585857391357,1,200,,115,128,67,182
33,compute_saturation,vllm_compute_saturation,1781809857.1465492,1781809866.7796037,9633.054494857788,1,200,,115,128,67,182
32,compute_saturation,vllm_compute_saturation,1781809857.1456635,1781809866.779759,9634.095430374146,1,200,,115,128,67,182
34,compute_saturation,vllm_compute_saturation,1781809857.1471052,1781809866.7799225,9632.817268371582,1,200,,115,128,65,180
29,compute_saturation,vllm_compute_saturation,1781809857.1444757,1781809866.7800782,9635.602474212646,1,200,,115,128,65,180
27,compute_saturation,vllm_compute_saturation,1781809857.1437123,1781809866.7804499,9636.737585067749,1,200,,115,128,67,182
25,compute_saturation,vllm_compute_saturation,1781809857.1430643,1781809866.780672,9637.60781288147,1,200,,115,128,67,182
37,compute_saturation,vllm_compute_saturation,1781809857.1490798,1781809866.837519,9688.439130783081,1,200,,115,128,65,180
44,compute_saturation,vllm_compute_saturation,1781809857.1533432,1781809866.8377388,9684.395551681519,1,200,,115,128,65,180
38,compute_saturation,vllm_compute_saturation,1781809857.1499681,1781809866.8379426,9687.974452972412,1,200,,115,128,65,180
36,compute_saturation,vllm_compute_saturation,1781809857.1485546,1781809866.838124,9689.569473266602,1,200,,115,128,65,180
41,compute_saturation,vllm_compute_saturation,1781809857.1515782,1781809866.8392725,9687.694311141968,1,200,,115,128,65,180
35,compute_saturation,vllm_compute_saturation,1781809857.1476982,1781809866.8394182,9691.720008850098,1,200,,115,128,65,180
39,compute_saturation,vllm_compute_saturation,1781809857.1504176,1781809866.839579,9689.161539077759,1,200,,115,128,65,180
42,compute_saturation,vllm_compute_saturation,1781809857.151931,1781809866.8397288,9687.797784805298,1,200,,115,128,65,180
40,compute_saturation,vllm_compute_saturation,1781809857.1512105,1781809866.8402648,9689.054250717163,1,200,,115,128,65,180
47,compute_saturation,vllm_compute_saturation,1781809857.1550024,1781809866.8936458,9738.643407821655,1,200,,115,128,65,180
46,compute_saturation,vllm_compute_saturation,1781809857.1544456,1781809866.8944838,9740.0381565094,1,200,,115,128,65,180
45,compute_saturation,vllm_compute_saturation,1781809857.153917,1781809866.8949792,9741.06216430664,1,200,,115,128,65,180
43,compute_saturation,vllm_compute_saturation,1781809857.1527557,1781809866.8951335,9742.377758026123,1,200,,115,128,65,180
48,compute_saturation,vllm_compute_saturation,1781809866.8962395,1781809876.4956186,9599.379062652588,1,200,,115,128,65,180
51,compute_saturation,vllm_compute_saturation,1781809866.897412,1781809876.4958434,9598.43134880066,1,200,,115,128,65,180
59,compute_saturation,vllm_compute_saturation,1781809866.9010344,1781809876.5665298,9665.4953956604,1,200,,115,128,65,180
50,compute_saturation,vllm_compute_saturation,1781809866.8970623,1781809876.566937,9669.874668121338,1,200,,115,128,71,186
55,compute_saturation,vllm_compute_saturation,1781809866.8988788,1781809876.5675502,9668.671369552612,1,200,,115,128,65,180
49,compute_saturation,vllm_compute_saturation,1781809866.896756,1781809876.5677257,9670.969724655151,1,200,,115,128,65,180
54,compute_saturation,vllm_compute_saturation,1781809866.8985157,1781809876.568112,9669.596195220947,1,200,,115,128,65,180
56,compute_saturation,vllm_compute_saturation,1781809866.8998857,1781809876.5682235,9668.33782196045,1,200,,115,128,65,180
58,compute_saturation,vllm_compute_saturation,1781809866.9006772,1781809876.5683317,9667.654514312744,1,200,,115,128,65,180
53,compute_saturation,vllm_compute_saturation,1781809866.8981218,1781809876.5684628,9670.34101486206,1,200,,115,128,65,180
52,compute_saturation,vllm_compute_saturation,1781809866.8977025,1781809876.568577,9670.87459564209,1,200,,115,128,65,180
61,compute_saturation,vllm_compute_saturation,1781809866.9017885,1781809876.6283534,9726.564884185791,1,200,,115,128,65,180
57,compute_saturation,vllm_compute_saturation,1781809866.900377,1781809876.628512,9728.134870529175,1,200,,115,128,65,180
66,compute_saturation,vllm_compute_saturation,1781809866.9041357,1781809876.6286292,9724.493503570557,1,200,,115,128,65,180
62,compute_saturation,vllm_compute_saturation,1781809866.9022176,1781809876.6287394,9726.521730422974,1,200,,115,128,65,180
67,compute_saturation,vllm_compute_saturation,1781809866.904592,1781809876.6288776,9724.28560256958,1,200,,115,128,65,180
60,compute_saturation,vllm_compute_saturation,1781809866.9014442,1781809876.6290352,9727.591037750244,1,200,,115,128,65,180
65,compute_saturation,vllm_compute_saturation,1781809866.903825,1781809876.629162,9725.337028503418,1,200,,115,128,65,180
63,compute_saturation,vllm_compute_saturation,1781809866.9028168,1781809876.6292741,9726.457357406616,1,200,,115,128,65,180
64,compute_saturation,vllm_compute_saturation,1781809866.9033294,1781809876.6293988,9726.069450378418,1,200,,115,128,62,177
68,compute_saturation,vllm_compute_saturation,1781809866.9051218,1781809876.6838071,9778.685331344604,1,200,,115,128,65,180
69,compute_saturation,vllm_compute_saturation,1781809866.905756,1781809876.6842349,9778.478860855103,1,200,,115,128,65,180
70,compute_saturation,vllm_compute_saturation,1781809866.9060755,1781809876.6843772,9778.30171585083,1,200,,115,128,107,222
71,compute_saturation,vllm_compute_saturation,1781809866.9064462,1781809876.684524,9778.077840805054,1,200,,115,128,114,229
72,compute_saturation,vllm_compute_saturation,1781809876.68507,1781809886.2774818,9592.411756515503,1,200,,115,128,120,235
79,compute_saturation,vllm_compute_saturation,1781809876.6878278,1781809886.3489637,9661.135911941528,1,200,,115,128,65,180
75,compute_saturation,vllm_compute_saturation,1781809876.6861384,1781809886.3494186,9663.280248641968,1,200,,115,128,65,180
76,compute_saturation,vllm_compute_saturation,1781809876.6868126,1781809886.350172,9663.35940361023,1,200,,115,128,65,180
78,compute_saturation,vllm_compute_saturation,1781809876.687544,1781809886.3507912,9663.247108459473,1,200,,115,128,65,180
81,compute_saturation,vllm_compute_saturation,1781809876.689491,1781809886.351154,9661.663055419922,1,200,,115,128,102,217
73,compute_saturation,vllm_compute_saturation,1781809876.685399,1781809886.3514724,9666.073322296143,1,200,,115,128,65,180
