request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1781809589.7229695,1781809593.4422529,3719.28334236145,1,200,,156,64,62,218
1,healthy,vllm_healthy,1781809593.4426982,1781809597.1644201,3721.721887588501,1,200,,156,64,59,215
2,healthy,vllm_healthy,1781809597.165064,1781809600.8886771,3723.6130237579346,1,200,,156,64,55,211
3,healthy,vllm_healthy,1781809600.891486,1781809604.6096668,3718.1808948516846,1,200,,156,64,54,210
4,healthy,vllm_healthy,1781809604.610391,1781809608.3318193,3721.428394317627,1,200,,156,64,55,211
5,healthy,vllm_healthy,1781809608.3324676,1781809612.0518277,3719.360113143921,1,200,,156,64,55,211
6,healthy,vllm_healthy,1781809612.0526288,1781809615.7769368,3724.3080139160156,1,200,,156,64,55,211
7,healthy,vllm_healthy,1781809615.7783365,1781809619.5034378,3725.1012325286865,1,200,,156,64,55,211
8,healthy,vllm_healthy,1781809619.503998,1781809623.2278671,3723.8690853118896,1,200,,156,64,55,211
9,healthy,vllm_healthy,1781809623.2284818,1781809626.949635,3721.1532592773438,1,200,,156,64,55,211
10,healthy,vllm_healthy,1781809626.9501498,1781809630.6682487,3718.0988788604736,1,200,,156,64,55,211
11,healthy,vllm_healthy,1781809630.6687596,1781809634.390445,3721.6854095458984,1,200,,156,64,55,211
12,healthy,vllm_healthy,1781809634.3916798,1781809638.1133285,3721.648693084717,1,200,,156,64,55,211
13,healthy,vllm_healthy,1781809638.1140597,1781809641.8330739,3719.0141677856445,1,200,,156,64,58,214
14,healthy,vllm_healthy,1781809641.8336415,1781809645.5541205,3720.4790115356445,1,200,,156,64,55,211
15,healthy,vllm_healthy,1781809645.5548236,1781809649.2749386,3720.1149463653564,1,200,,156,64,55,211
16,healthy,vllm_healthy,1781809649.2755704,1781809652.9958422,3720.2718257904053,1,200,,156,64,55,211
