request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1048758,1781809122.123955,19019.079208374023,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1037536,1781809122.2532327,19149.479150772095,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1021187,1781809122.3837774,19281.65864944458,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.108244,1781809122.4472492,19339.0052318573,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1064148,1781809122.5712297,19464.81490135193,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1090908,1781809122.6940951,19585.004329681396,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1099188,1781809122.753584,19643.665075302124,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1781809103.1056252,1781809122.8701687,19764.543533325195,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8712554,1781809141.8599994,18988.744020462036,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8717775,1781809141.9899611,19118.183612823486,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.872164,1781809142.1185653,19246.40130996704,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8730235,1781809142.1834748,19310.45126914978,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8734288,1781809142.30783,19434.401273727417,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8725884,1781809142.4320903,19559.501886367798,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.873967,1781809142.5534863,19679.519414901733,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781809122.8749928,1781809142.6121264,19737.133502960205,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.613979,1781809161.6871927,19073.213577270508,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.6129,1781809161.817424,19204.524040222168,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.6156878,1781809161.9464571,19330.769300460815,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.616188,1781809162.0103688,19394.18077468872,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.6150515,1781809162.1359065,19520.854949951172,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.6167498,1781809162.259482,19642.7321434021,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.617759,1781809162.3796587,19761.899709701538,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1781809142.6173327,1781809162.4401028,19822.77011871338,1,200,,1592,192,86,1678
27,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4432263,1781809181.5398881,19096.661806106567,1,200,,1592,192,86,1678
25,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4420364,1781809181.6706393,19228.60288619995,1,200,,1592,192,86,1678
26,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4427674,1781809181.7988427,19356.075286865234,1,200,,1592,192,86,1678
24,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4413517,1781809181.8620813,19420.729637145996,1,200,,1592,192,86,1678
31,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4455903,1781809181.9868698,19541.279554367065,1,200,,1592,192,86,1678
29,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.444682,1781809182.1098545,19665.172576904297,1,200,,1592,192,86,1678
30,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4451678,1781809182.231556,19786.388158798218,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1781809162.4440744,1781809182.2910926,19847.018241882324,1,200,,1592,192,86,1678
