request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5860925,1781809529.589926,19003.833532333374,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5829918,1781809529.7194026,19136.4107131958,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5845804,1781809529.849254,19264.673471450806,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.587294,1781809529.9117699,19324.47576522827,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5885565,1781809530.036628,19448.071479797363,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5908313,1781809530.1596143,19568.783044815063,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5933518,1781809530.2197862,19626.434326171875,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781809510.5921628,1781809530.337047,19744.884252548218,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3395758,1781809549.3171961,18977.620363235474,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3384998,1781809549.4456089,19107.10906982422,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3406136,1781809549.5747652,19234.151601791382,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3443327,1781809549.6379437,19293.6110496521,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3433347,1781809549.76275,19419.41523551941,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3424466,1781809549.8856108,19543.164253234863,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3415406,1781809550.0065663,19665.02571105957,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781809530.3455632,1781809550.0655038,19719.940662384033,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0670528,1781809569.0482364,18981.183528900146,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0680954,1781809569.178648,19110.552549362183,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0697987,1781809569.307467,19237.66827583313,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0689435,1781809569.3705852,19301.641702651978,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0707083,1781809569.4956264,19424.918174743652,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.072714,1781809569.6186228,19545.9086894989,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0716212,1781809569.739092,19667.470932006836,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1781809550.0735288,1781809569.7987278,19725.198984146118,1,200,,1592,192,86,1678
24,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8000681,1781809588.785904,18985.835790634155,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8032868,1781809588.914675,19111.388206481934,1,200,,1592,192,86,1678
27,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8026536,1781809589.0439405,19241.286993026733,1,200,,1592,192,86,1678
25,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.800973,1781809589.1071568,19306.18381500244,1,200,,1592,192,86,1678
26,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8018472,1781809589.2321148,19430.267572402954,1,200,,1592,192,86,1678
31,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8059382,1781809589.3550737,19549.135446548462,1,200,,1592,192,86,1678
30,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8050294,1781809589.4755056,19670.47619819641,1,200,,1592,192,86,1678
29,kv_cache_pressure,vllm_kv_cache_pressure,1781809569.8040745,1781809589.5342605,19730.185985565186,1,200,,1592,192,86,1678
