request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_prompt,vllm_long_prompt,1781809717.6626256,1781809724.8481808,7185.555219650269,1,200,,1592,64,29,1621
0,long_prompt,vllm_long_prompt,1781809717.6603286,1781809724.9696264,7309.297800064087,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1781809717.6641185,1781809725.0895712,7425.452709197998,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1781809717.6650279,1781809725.1488612,7483.833312988281,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1781809725.150032,1781809732.3296673,7179.635286331177,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1781809725.151445,1781809732.4502354,7298.790454864502,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1781809725.1509194,1781809732.5706315,7419.712066650391,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1781809725.152302,1781809732.6291723,7476.87029838562,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1781809732.6331036,1781809739.809085,7175.981283187866,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1781809732.6343942,1781809739.9325833,7298.189163208008,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1781809732.6315556,1781809740.05309,7421.534538269043,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1781809732.6338952,1781809740.1114938,7477.598667144775,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1781809740.1143982,1781809747.2916923,7177.294015884399,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1781809740.1126072,1781809747.4145465,7301.939249038696,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1781809740.1135015,1781809747.5349357,7421.434164047241,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1781809740.1139948,1781809747.5935185,7479.523658752441,1,200,,1592,64,29,1621
17,long_prompt,vllm_long_prompt,1781809747.595546,1781809754.7810678,7185.521841049194,1,200,,1592,64,29,1621
19,long_prompt,vllm_long_prompt,1781809747.5972204,1781809754.903732,7306.511640548706,1,200,,1592,64,29,1621
16,long_prompt,vllm_long_prompt,1781809747.5947206,1781809755.0245328,7429.81219291687,1,200,,1592,64,29,1621
18,long_prompt,vllm_long_prompt,1781809747.596458,1781809755.0832098,7486.7517948150635,1,200,,1592,64,29,1621
20,long_prompt,vllm_long_prompt,1781809755.0838895,1781809762.2680638,7184.174299240112,1,200,,1592,64,29,1621
21,long_prompt,vllm_long_prompt,1781809755.084565,1781809762.3941453,7309.580326080322,1,200,,1592,64,29,1621
22,long_prompt,vllm_long_prompt,1781809755.084951,1781809762.5144193,7429.468393325806,1,200,,1592,64,29,1621
23,long_prompt,vllm_long_prompt,1781809755.0854697,1781809762.572312,7486.842393875122,1,200,,1592,64,29,1621
24,long_prompt,vllm_long_prompt,1781809762.5736282,1781809769.752274,7178.645849227905,1,200,,1592,64,29,1621
26,long_prompt,vllm_long_prompt,1781809762.5749454,1781809769.8740337,7299.0882396698,1,200,,1592,64,29,1621
25,long_prompt,vllm_long_prompt,1781809762.5744157,1781809769.9950988,7420.683145523071,1,200,,1592,64,29,1621
27,long_prompt,vllm_long_prompt,1781809762.5753999,1781809770.0534127,7478.012800216675,1,200,,1592,64,29,1621
28,long_prompt,vllm_long_prompt,1781809770.0541759,1781809777.2341259,7179.949998855591,1,200,,1592,64,29,1621
29,long_prompt,vllm_long_prompt,1781809770.0549445,1781809777.3569422,7301.997661590576,1,200,,1592,64,29,1621
31,long_prompt,vllm_long_prompt,1781809770.0565374,1781809777.4778986,7421.361207962036,1,200,,1592,64,29,1621
30,long_prompt,vllm_long_prompt,1781809770.0560327,1781809777.5358517,7479.819059371948,1,200,,1592,64,29,1621
34,long_prompt,vllm_long_prompt,1781809777.5380285,1781809784.7176707,7179.642200469971,1,200,,1592,64,29,1621
33,long_prompt,vllm_long_prompt,1781809777.5375767,1781809784.8402927,7302.716016769409,1,200,,1592,64,29,1621
32,long_prompt,vllm_long_prompt,1781809777.5366302,1781809784.9606147,7423.984527587891,1,200,,1592,64,29,1621
35,long_prompt,vllm_long_prompt,1781809777.5388975,1781809785.0186913,7479.7937870025635,1,200,,1592,64,29,1621
