request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
3,queue_pressure,vllm_queue_pressure,1781808839.358498,1781808846.6594374,7300.939321517944,1,200,,156,96,93,249
0,queue_pressure,vllm_queue_pressure,1781808839.356065,1781808846.6596122,7303.547143936157,1,200,,156,96,95,251
1,queue_pressure,vllm_queue_pressure,1781808839.3572633,1781808846.7227373,7365.473985671997,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781808839.3623304,1781808846.723315,7360.984563827515,1,200,,156,96,97,253
4,queue_pressure,vllm_queue_pressure,1781808839.3589163,1781808846.7235525,7364.636182785034,1,200,,156,96,93,249
15,queue_pressure,vllm_queue_pressure,1781808839.3665667,1781808846.7239256,7357.358932495117,1,200,,156,96,91,247
2,queue_pressure,vllm_queue_pressure,1781808839.3578959,1781808846.7240665,7366.170644760132,1,200,,156,96,91,247
5,queue_pressure,vllm_queue_pressure,1781808839.3602893,1781808846.7242868,7363.997459411621,1,200,,156,96,95,251
11,queue_pressure,vllm_queue_pressure,1781808839.3643467,1781808846.7829692,7418.6224937438965,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781808839.3659203,1781808846.7835915,7417.671203613281,1,200,,156,96,89,245
10,queue_pressure,vllm_queue_pressure,1781808839.3633413,1781808846.7837317,7420.390367507935,1,200,,156,96,86,242
13,queue_pressure,vllm_queue_pressure,1781808839.3655245,1781808846.7838671,7418.342590332031,1,200,,156,96,93,249
9,queue_pressure,vllm_queue_pressure,1781808839.362789,1781808846.7843654,7421.576499938965,1,200,,156,96,95,251
7,queue_pressure,vllm_queue_pressure,1781808839.3616266,1781808846.7844923,7422.865629196167,1,200,,156,96,85,241
6,queue_pressure,vllm_queue_pressure,1781808839.3608823,1781808846.784607,7423.72465133667,1,200,,156,96,95,251
12,queue_pressure,vllm_queue_pressure,1781808839.3647783,1781808846.837076,7472.297668457031,1,200,,156,96,95,251
16,queue_pressure,vllm_queue_pressure,1781808846.8377976,1781808853.775827,6938.0292892456055,1,200,,156,96,86,242
17,queue_pressure,vllm_queue_pressure,1781808846.838167,1781808853.8388436,7000.67663192749,1,200,,156,96,94,250
19,queue_pressure,vllm_queue_pressure,1781808846.8390617,1781808853.8396912,7000.629425048828,1,200,,156,96,85,241
21,queue_pressure,vllm_queue_pressure,1781808846.8400218,1781808853.8399198,6999.8979568481445,1,200,,156,96,85,241
23,queue_pressure,vllm_queue_pressure,1781808846.8409758,1781808853.840145,6999.16934967041,1,200,,156,96,85,241
20,queue_pressure,vllm_queue_pressure,1781808846.8395767,1781808853.8405855,7001.008749008179,1,200,,156,96,89,245
18,queue_pressure,vllm_queue_pressure,1781808846.8386314,1781808853.840847,7002.215623855591,1,200,,156,96,89,245
22,queue_pressure,vllm_queue_pressure,1781808846.8405359,1781808853.8998644,7059.328556060791,1,200,,156,96,89,245
27,queue_pressure,vllm_queue_pressure,1781808846.84354,1781808853.9000053,7056.46538734436,1,200,,156,96,95,251
24,queue_pressure,vllm_queue_pressure,1781808846.8415327,1781808853.900425,7058.892250061035,1,200,,156,96,94,250
28,queue_pressure,vllm_queue_pressure,1781808846.8439054,1781808853.9005733,7056.667804718018,1,200,,156,96,95,251
26,queue_pressure,vllm_queue_pressure,1781808846.8428793,1781808853.9008598,7057.980537414551,1,200,,156,96,95,251
25,queue_pressure,vllm_queue_pressure,1781808846.8421445,1781808853.9013448,7059.200286865234,1,200,,156,96,94,250
29,queue_pressure,vllm_queue_pressure,1781808846.84474,1781808853.9568677,7112.127780914307,1,200,,156,96,89,245
31,queue_pressure,vllm_queue_pressure,1781808846.8458776,1781808853.957137,7111.259460449219,1,200,,156,96,86,242
30,queue_pressure,vllm_queue_pressure,1781808846.8451426,1781808853.9576504,7112.5078201293945,1,200,,156,96,89,245
33,queue_pressure,vllm_queue_pressure,1781808853.9592497,1781808860.8900325,6930.782794952393,1,200,,156,96,89,245
35,queue_pressure,vllm_queue_pressure,1781808853.9600573,1781808860.9540222,6993.964910507202,1,200,,156,96,91,247
39,queue_pressure,vllm_queue_pressure,1781808853.9618628,1781808860.9542232,6992.360353469849,1,200,,156,96,89,245
37,queue_pressure,vllm_queue_pressure,1781808853.9610677,1781808860.954556,6993.488311767578,1,200,,156,96,91,247
36,queue_pressure,vllm_queue_pressure,1781808853.9604235,1781808860.954917,6994.49348449707,1,200,,156,96,89,245
32,queue_pressure,vllm_queue_pressure,1781808853.9586906,1781808860.9550486,6996.3579177856445,1,200,,156,96,91,247
34,queue_pressure,vllm_queue_pressure,1781808853.959593,1781808860.9552386,6995.645523071289,1,200,,156,96,97,253
45,queue_pressure,vllm_queue_pressure,1781808853.9649394,1781808861.0153975,7050.458192825317,1,200,,156,96,89,245
43,queue_pressure,vllm_queue_pressure,1781808853.9640915,1781808861.015765,7051.673412322998,1,200,,156,96,86,242
42,queue_pressure,vllm_queue_pressure,1781808853.963454,1781808861.0159976,7052.543640136719,1,200,,156,96,91,247
38,queue_pressure,vllm_queue_pressure,1781808853.9615278,1781808861.016143,7054.615259170532,1,200,,156,96,89,245
41,queue_pressure,vllm_queue_pressure,1781808853.9631395,1781808861.0162568,7053.117275238037,1,200,,156,96,94,250
40,queue_pressure,vllm_queue_pressure,1781808853.9622824,1781808861.0163584,7054.0759563446045,1,200,,156,96,93,249
44,queue_pressure,vllm_queue_pressure,1781808853.9645305,1781808861.0731714,7108.640909194946,1,200,,156,96,89,245
46,queue_pressure,vllm_queue_pressure,1781808853.965379,1781808861.0733533,7107.974290847778,1,200,,156,96,85,241
47,queue_pressure,vllm_queue_pressure,1781808853.9657834,1781808861.0734918,7107.70845413208,1,200,,156,96,85,241
